Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio
4000EEW_B02_U11_0801,admission,,[ədmíʃən],n.,<i>Admission</i> is the act of allowing to enter a place.,The <b>admission</b> ticket to the movie was $5.,The {{c1::admission}} ticket to the movie was $5.,"""<img src=""""4000EEW_B02_U11_0801.jpg"""" />""",[sound:4000EEW_B02_U11_0801.word.mp3],[sound:4000EEW_B02_U11_0801.definition.mp3],[sound:4000EEW_B02_U11_0801.example.mp3]
4000EEW_B02_U11_0802,astronomy,,[əstrɑ́nəmi],n.,<i>Astronomy</i> is the study of the stars and planets.,"Harold loved looking at the stars, so he decided to study <b>astronomy</b>.","Harold loved looking at the stars, so he decided to study {{c1::astronomy}}.","""<img src=""""4000EEW_B02_U11_0802.jpg"""" />""",[sound:4000EEW_B02_U11_0802.word.mp3],[sound:4000EEW_B02_U11_0802.definition.mp3],[sound:4000EEW_B02_U11_0802.example.mp3]
4000EEW_B02_U11_0803,blame,,[bleim],v.,To <i>blame</i> someone for something bad is to say they did it.,My mom <b>blamed</b> me for something I didn’t do.,My mom {{c1::blamed}} me for something I didn’t do.,"""<img src=""""4000EEW_B02_U11_0803.jpg"""" />""",[sound:4000EEW_B02_U11_0803.word.mp3],[sound:4000EEW_B02_U11_0803.definition.mp3],[sound:4000EEW_B02_U11_0803.example.mp3]
4000EEW_B02_U11_0804,chemistry,,[kémistri],n.,<i>Chemistry</i> is the study of substances and reactions between them.,"In <b>chemistry</b> class, the professor taught us about chemical reactions.","In {{c1::chemistry}} class, the professor taught us about chemical reactions.","""<img src=""""4000EEW_B02_U11_0804.jpg"""" />""",[sound:4000EEW_B02_U11_0804.word.mp3],[sound:4000EEW_B02_U11_0804.definition.mp3],[sound:4000EEW_B02_U11_0804.example.mp3]
4000EEW_B02_U11_0805,despite,,[dispáit],prep.,<i>Despite</i> shows a difference from what is expected.,We still played the game <b>despite</b> the cold weather.,We still played the game {{c1::despite}} the cold weather.,"""<img src=""""4000EEW_B02_U11_0805.jpg"""" />""",[sound:4000EEW_B02_U11_0805.word.mp3],[sound:4000EEW_B02_U11_0805.definition.mp3],[sound:4000EEW_B02_U11_0805.example.mp3]
4000EEW_B02_U11_0806,dinosaur,,[dáinəsɔ̀ːr],n.,A <i>dinosaur</i> is a very big animal that lived millions of years ago.,I like to see the <b>dinosaur</b> bones at the museum.,I like to see the {{c1::dinosaur}} bones at the museum.,"""<img src=""""4000EEW_B02_U11_0806.jpg"""" />""",[sound:4000EEW_B02_U11_0806.word.mp3],[sound:4000EEW_B02_U11_0806.definition.mp3],[sound:4000EEW_B02_U11_0806.example.mp3]
4000EEW_B02_U11_0807,exhibit,,[igzíbit],v.,To <i>exhibit</i> is to show something so that people can go look at it.,My painting will be <b>exhibited</b> at the fair.,My painting will be {{c1::exhibited}} at the fair.,"""<img src=""""4000EEW_B02_U11_0807.jpg"""" />""",[sound:4000EEW_B02_U11_0807.word.mp3],[sound:4000EEW_B02_U11_0807.definition.mp3],[sound:4000EEW_B02_U11_0807.example.mp3]
4000EEW_B02_U11_0808,fame,,[feim],n.,<i>Fame</i> is a reputation one has gained among the public.,"He had <b>fame</b> and fortune, but he was not happy.","He had {{c1::fame}} and fortune, but he was not happy.","""<img src=""""4000EEW_B02_U11_0808.jpg"""" />""",[sound:4000EEW_B02_U11_0808.word.mp3],[sound:4000EEW_B02_U11_0808.definition.mp3],[sound:4000EEW_B02_U11_0808.example.mp3]
4000EEW_B02_U11_0809,forecast,,[fɔ́ːrkæ̀st],n.,A <i>forecast</i> is an idea about what the weather will be like in the future.,The <b>forecast</b> says that it will rain all week.,The {{c1::forecast}} says that it will rain all week.,"""<img src=""""4000EEW_B02_U11_0809.jpg"""" />""",[sound:4000EEW_B02_U11_0809.word.mp3],[sound:4000EEW_B02_U11_0809.definition.mp3],[sound:4000EEW_B02_U11_0809.example.mp3]
4000EEW_B02_U11_0810,genius,,[dʒíːnjəs],n.,A <i>genius</i> is a very smart person.,"Since she was a <b>genius</b>, she easily passed all of her school exams.","Since she was a {{c1::genius}}, she easily passed all of her school exams.","""<img src=""""4000EEW_B02_U11_0810.jpg"""" />""",[sound:4000EEW_B02_U11_0810.word.mp3],[sound:4000EEW_B02_U11_0810.definition.mp3],[sound:4000EEW_B02_U11_0810.example.mp3]
4000EEW_B02_U11_0811,gentle,,[dʒéntl],adj.,Someone who is <i>gentle</i> is kind and calm.,He is very <b>gentle</b> with the baby.,He is very {{c1::gentle}} with the baby.,"""<img src=""""4000EEW_B02_U11_0811.jpg"""" />""",[sound:4000EEW_B02_U11_0811.word.mp3],[sound:4000EEW_B02_U11_0811.definition.mp3],[sound:4000EEW_B02_U11_0811.example.mp3]
4000EEW_B02_U11_0812,geography,,[dʒiάgrəfi],n.,"<i>Geography</i> is the study of the Earth, its land, weather, etc.",I had to draw a map for <b>geography</b> class.,I had to draw a map for {{c1::geography}} class.,"""<img src=""""4000EEW_B02_U11_0812.jpg"""" />""",[sound:4000EEW_B02_U11_0812.word.mp3],[sound:4000EEW_B02_U11_0812.definition.mp3],[sound:4000EEW_B02_U11_0812.example.mp3]
4000EEW_B02_U11_0813,interfere,,[ìntərfíər],v.,To <i>interfere</i> is to cause problems and keep something from happening.,My little sister always <b>interferes</b> when I’m trying to study.,My little sister always {{c1::interferes}} when I’m trying to study.,"""<img src=""""4000EEW_B02_U11_0813.jpg"""" />""",[sound:4000EEW_B02_U11_0813.word.mp3],[sound:4000EEW_B02_U11_0813.definition.mp3],[sound:4000EEW_B02_U11_0813.example.mp3]
4000EEW_B02_U11_0814,lightly,,[láitli],adv.,To do something <i>lightly</i> is to not push very hard.,Draw <b>lightly</b> so you do not tear your paper.,Draw {{c1::lightly}} so you do not tear your paper.,"""<img src=""""4000EEW_B02_U11_0814.jpg"""" />""",[sound:4000EEW_B02_U11_0814.word.mp3],[sound:4000EEW_B02_U11_0814.definition.mp3],[sound:4000EEW_B02_U11_0814.example.mp3]
4000EEW_B02_U11_0815,principal,,[prínsəpəl],n.,A <i>principal</i> is a person in charge of a school.,My school’s <b>principal</b> can be very strict with the rules.,My school’s {{c1::principal}} can be very strict with the rules.,"""<img src=""""4000EEW_B02_U11_0815.jpg"""" />""",[sound:4000EEW_B02_U11_0815.word.mp3],[sound:4000EEW_B02_U11_0815.definition.mp3],[sound:4000EEW_B02_U11_0815.example.mp3]
4000EEW_B02_U11_0816,row,,[rou],n.,A <i>row</i> is a line of things.,James put all of his toy soldiers into neat <b>rows</b>.,James put all of his toy soldiers into neat {{c1::rows}}.,"""<img src=""""4000EEW_B02_U11_0816.jpg"""" />""",[sound:4000EEW_B02_U11_0816.word.mp3],[sound:4000EEW_B02_U11_0816.definition.mp3],[sound:4000EEW_B02_U11_0816.example.mp3]
4000EEW_B02_U11_0817,shelf,,[ʃelf],n.,A <i>shelf</i> is a place on a wall where you put things.,I keep my clothes on a <b>shelf</b> in my closet.,I keep my clothes on a {{c1::shelf}} in my closet.,"""<img src=""""4000EEW_B02_U11_0817.jpg"""" />""",[sound:4000EEW_B02_U11_0817.word.mp3],[sound:4000EEW_B02_U11_0817.definition.mp3],[sound:4000EEW_B02_U11_0817.example.mp3]
4000EEW_B02_U11_0818,spite,,[spait],n.,<i>Spite</i> is the desire to be mean.,He snuck into his sister’s room and stole her bag out of <b>spite</b>.,He snuck into his sister’s room and stole her bag out of {{c1::spite}}.,"""<img src=""""4000EEW_B02_U11_0818.jpg"""" />""",[sound:4000EEW_B02_U11_0818.word.mp3],[sound:4000EEW_B02_U11_0818.definition.mp3],[sound:4000EEW_B02_U11_0818.example.mp3]
4000EEW_B02_U11_0819,super,,[súːpər],adj.,<i>Super</i> means really good.,My dad said I did a <b>super</b> job cleaning the house.,My dad said I did a {{c1::super}} job cleaning the house.,"""<img src=""""4000EEW_B02_U11_0819.jpg"""" />""",[sound:4000EEW_B02_U11_0819.word.mp3],[sound:4000EEW_B02_U11_0819.definition.mp3],[sound:4000EEW_B02_U11_0819.example.mp3]
4000EEW_B02_U11_0820,wet,,[wet],adj.,A <i>wet</i> thing has water on it.,"Since my dog was <b>wet</b>, he tried to shake all the water off his body.","Since my dog was {{c1::wet}}, he tried to shake all the water off his body.","""<img src=""""4000EEW_B02_U11_0820.jpg"""" />""",[sound:4000EEW_B02_U11_0820.word.mp3],[sound:4000EEW_B02_U11_0820.definition.mp3],[sound:4000EEW_B02_U11_0820.example.mp3]
4000EEW_B02_U12_0821,abuse,,[əbjúːz],v.,To <i>abuse</i> means to hurt someone or something on purpose.,The mean man <b>abused</b> his dog when it barked too loudly.,The mean man {{c1::abused}} his dog when it barked too loudly.,"""<img src=""""4000EEW_B02_U12_0821.jpg"""" />""",[sound:4000EEW_B02_U12_0821.word.mp3],[sound:4000EEW_B02_U12_0821.definition.mp3],[sound:4000EEW_B02_U12_0821.example.mp3]
4000EEW_B02_U12_0822,afford,,[əfɔ́ːrd],v.,To <i>afford</i> something means to have enough money to pay for it.,I’ve been saving my money so I can <b>afford</b> to buy a new bike.,I’ve been saving my money so I can {{c1::afford}} to buy a new bike.,"""<img src=""""4000EEW_B02_U12_0822.jpg"""" />""",[sound:4000EEW_B02_U12_0822.word.mp3],[sound:4000EEW_B02_U12_0822.definition.mp3],[sound:4000EEW_B02_U12_0822.example.mp3]
4000EEW_B02_U12_0823,bake,,[beik],v.,To <i>bake</i> means to cook food in an oven.,My sister is a good cook. She <b>bakes</b> delicious cakes.,My sister is a good cook. She {{c1::bakes}} delicious cakes.,"""<img src=""""4000EEW_B02_U12_0823.jpg"""" />""",[sound:4000EEW_B02_U12_0823.word.mp3],[sound:4000EEW_B02_U12_0823.definition.mp3],[sound:4000EEW_B02_U12_0823.example.mp3]
4000EEW_B02_U12_0824,bean,,[biːn],n.,A <i>bean</i> is a plant seed that is good to eat.,There are many different kinds of <b>beans</b> to eat.,There are many different kinds of {{c1::beans}} to eat.,"""<img src=""""4000EEW_B02_U12_0824.jpg"""" />""",[sound:4000EEW_B02_U12_0824.word.mp3],[sound:4000EEW_B02_U12_0824.definition.mp3],[sound:4000EEW_B02_U12_0824.example.mp3]
4000EEW_B02_U12_0825,candle,,[kǽndl],n.,A <i>candle</i> is a stick of wax that is lit on fire for light or heat.,"When the lights went out, we lit some <b>candles</b>.","When the lights went out, we lit some {{c1::candles}}.","""<img src=""""4000EEW_B02_U12_0825.jpg"""" />""",[sound:4000EEW_B02_U12_0825.word.mp3],[sound:4000EEW_B02_U12_0825.definition.mp3],[sound:4000EEW_B02_U12_0825.example.mp3]
4000EEW_B02_U12_0826,convert,,[kənvə́ːrt],v.,To <i>convert</i> something means to change it into something else.,The man <b>converted</b> his messy field into a garden of flowers.,The man {{c1::converted}} his messy field into a garden of flowers.,"""<img src=""""4000EEW_B02_U12_0826.jpg"""" />""",[sound:4000EEW_B02_U12_0826.word.mp3],[sound:4000EEW_B02_U12_0826.definition.mp3],[sound:4000EEW_B02_U12_0826.example.mp3]
4000EEW_B02_U12_0827,debt,,[det],n.,A <i>debt</i> is an amount of money that a person owes.,I have not paid my gas bill. I owe a <b>debt</b> to the gas company.,I have not paid my gas bill. I owe a {{c1::debt}} to the gas company.,"""<img src=""""4000EEW_B02_U12_0827.jpg"""" />""",[sound:4000EEW_B02_U12_0827.word.mp3],[sound:4000EEW_B02_U12_0827.definition.mp3],[sound:4000EEW_B02_U12_0827.example.mp3]
4000EEW_B02_U12_0828,decrease,,[diːkríːs],v.,To <i>decrease</i> something is to make it less than it was before.,Hiring more police officers has <b>decreased</b> crime in the city.,Hiring more police officers has {{c1::decreased}} crime in the city.,"""<img src=""""4000EEW_B02_U12_0828.jpg"""" />""",[sound:4000EEW_B02_U12_0828.word.mp3],[sound:4000EEW_B02_U12_0828.definition.mp3],[sound:4000EEW_B02_U12_0828.example.mp3]
4000EEW_B02_U12_0829,fault,,[fɔːlt],n.,A <i>fault</i> is responsibility for a mistake.,It is my <b>fault</b> that the cat ran away. I left the door open.,It is my {{c1::fault}} that the cat ran away. I left the door open.,"""<img src=""""4000EEW_B02_U12_0829.jpg"""" />""",[sound:4000EEW_B02_U12_0829.word.mp3],[sound:4000EEW_B02_U12_0829.definition.mp3],[sound:4000EEW_B02_U12_0829.example.mp3]
4000EEW_B02_U12_0830,fund,,[fʌnd],n.,A <i>fund</i> is an amount of money that people have.,We all put money into our club’s <b>fund</b>.,We all put money into our club’s {{c1::fund}}.,"""<img src=""""4000EEW_B02_U12_0830.jpg"""" />""",[sound:4000EEW_B02_U12_0830.word.mp3],[sound:4000EEW_B02_U12_0830.definition.mp3],[sound:4000EEW_B02_U12_0830.example.mp3]
4000EEW_B02_U12_0831,generous,,[dʒénərəs],adj.,A <i>generous</i> person likes to give things to people.,The <b>generous</b> man donated several new computers to our school.,The {{c1::generous}} man donated several new computers to our school.,"""<img src=""""4000EEW_B02_U12_0831.jpg"""" />""",[sound:4000EEW_B02_U12_0831.word.mp3],[sound:4000EEW_B02_U12_0831.definition.mp3],[sound:4000EEW_B02_U12_0831.example.mp3]
4000EEW_B02_U12_0832,ingredient,,[ingríːdiənt],n.,An <i>ingredient</i> is something that is part of a food dish.,"The main <b>ingredients</b> in cake are eggs, sugar, and flour.","The main {{c1::ingredients}} in cake are eggs, sugar, and flour.","""<img src=""""4000EEW_B02_U12_0832.jpg"""" />""",[sound:4000EEW_B02_U12_0832.word.mp3],[sound:4000EEW_B02_U12_0832.definition.mp3],[sound:4000EEW_B02_U12_0832.example.mp3]
4000EEW_B02_U12_0833,insist,,[insíst],v.,To <i>insist</i> means to be firm in telling people what to do.,I <b>insist</b> that you try some of these cookies.,I {{c1::insist}} that you try some of these cookies.,"""<img src=""""4000EEW_B02_U12_0833.jpg"""" />""",[sound:4000EEW_B02_U12_0833.word.mp3],[sound:4000EEW_B02_U12_0833.definition.mp3],[sound:4000EEW_B02_U12_0833.example.mp3]
4000EEW_B02_U12_0834,mess,,[mes],n.,A <i>mess</i> is a condition that is not clean or neat.,Heather’s room was a complete <b>mess</b>.,Heather’s room was a complete {{c1::mess}}.,"""<img src=""""4000EEW_B02_U12_0834.jpg"""" />""",[sound:4000EEW_B02_U12_0834.word.mp3],[sound:4000EEW_B02_U12_0834.definition.mp3],[sound:4000EEW_B02_U12_0834.example.mp3]
4000EEW_B02_U12_0835,metal,,[métl],n.,<i>Metal</i> is a strong material people use to build things.,Steel is a common <b>metal</b> that is used to build buildings.,Steel is a common {{c1::metal}} that is used to build buildings.,"""<img src=""""4000EEW_B02_U12_0835.jpg"""" />""",[sound:4000EEW_B02_U12_0835.word.mp3],[sound:4000EEW_B02_U12_0835.definition.mp3],[sound:4000EEW_B02_U12_0835.example.mp3]
4000EEW_B02_U12_0836,monitor,,[mɑ́nitər],v.,To <i>monitor</i> people or things is to watch them closely.,The teacher <b>monitors</b> the students when they take tests.,The teacher {{c1::monitors}} the students when they take tests.,"""<img src=""""4000EEW_B02_U12_0836.jpg"""" />""",[sound:4000EEW_B02_U12_0836.word.mp3],[sound:4000EEW_B02_U12_0836.definition.mp3],[sound:4000EEW_B02_U12_0836.example.mp3]
4000EEW_B02_U12_0837,oppose,,[əpóuz],v.,To <i>oppose</i> something means to dislike it or act against it.,I want to be a police officer because I <b>oppose</b> crime.,I want to be a police officer because I {{c1::oppose}} crime.,"""<img src=""""4000EEW_B02_U12_0837.jpg"""" />""",[sound:4000EEW_B02_U12_0837.word.mp3],[sound:4000EEW_B02_U12_0837.definition.mp3],[sound:4000EEW_B02_U12_0837.example.mp3]
4000EEW_B02_U12_0838,passive,,[pǽsiv],adj.,A <i>passive</i> person does not take action to solve problems.,Marcie is so <b>passive</b> that she never solves her own problems.,Marcie is so {{c1::passive}} that she never solves her own problems.,"""<img src=""""4000EEW_B02_U12_0838.jpg"""" />""",[sound:4000EEW_B02_U12_0838.word.mp3],[sound:4000EEW_B02_U12_0838.definition.mp3],[sound:4000EEW_B02_U12_0838.example.mp3]
4000EEW_B02_U12_0839,quantity,,[kwɑ́ntəti],n.,A <i>quantity</i> is a certain amount of something.,I have a small <b>quantity</b> of milk in my glass.,I have a small {{c1::quantity}} of milk in my glass.,"""<img src=""""4000EEW_B02_U12_0839.jpg"""" />""",[sound:4000EEW_B02_U12_0839.word.mp3],[sound:4000EEW_B02_U12_0839.definition.mp3],[sound:4000EEW_B02_U12_0839.example.mp3]
4000EEW_B02_U12_0840,sue,,[suː],v.,To <i>sue</i> is to take someone to court for some harmful action.,I <b>sued</b> the company after I slipped on a banana peel in their hallway.,I {{c1::sued}} the company after I slipped on a banana peel in their hallway.,"""<img src=""""4000EEW_B02_U12_0840.jpg"""" />""",[sound:4000EEW_B02_U12_0840.word.mp3],[sound:4000EEW_B02_U12_0840.definition.mp3],[sound:4000EEW_B02_U12_0840.example.mp3]
4000EEW_B02_U13_0841,adequate,,[ǽdikwət],adj.,Something <i>adequate</i> is good enough.,This is <b>adequate</b> for my needs.,This is {{c1::adequate}} for my needs.,"""<img src=""""4000EEW_B02_U13_0841.jpg"""" />""",[sound:4000EEW_B02_U13_0841.word.mp3],[sound:4000EEW_B02_U13_0841.definition.mp3],[sound:4000EEW_B02_U13_0841.example.mp3]
4000EEW_B02_U13_0842,anxiety,,[æŋzáiəti],n.,<i>Anxiety</i> is a feeling of worry and fear.,"When I have to climb to high places, I’m filled with <b>anxiety</b>.","When I have to climb to high places, I’m filled with {{c1::anxiety}}.","""<img src=""""4000EEW_B02_U13_0842.jpg"""" />""",[sound:4000EEW_B02_U13_0842.word.mp3],[sound:4000EEW_B02_U13_0842.definition.mp3],[sound:4000EEW_B02_U13_0842.example.mp3]
4000EEW_B02_U13_0843,army,,[ɑ́ːrmi],n.,An <i>army</i> is a large group of people who fight in wars.,The <b>army</b> protects all the people in the country.,The {{c1::army}} protects all the people in the country.,"""<img src=""""4000EEW_B02_U13_0843.jpg"""" />""",[sound:4000EEW_B02_U13_0843.word.mp3],[sound:4000EEW_B02_U13_0843.definition.mp3],[sound:4000EEW_B02_U13_0843.example.mp3]
4000EEW_B02_U13_0844,billion,,[bíljən],n.,"A <i>billion</i> is a very large number: 1,000,000,000.",There are <b>billions</b> of stars in outer space.,There are {{c1::billions}} of stars in outer space.,"""<img src=""""4000EEW_B02_U13_0844.jpg"""" />""",[sound:4000EEW_B02_U13_0844.word.mp3],[sound:4000EEW_B02_U13_0844.definition.mp3],[sound:4000EEW_B02_U13_0844.example.mp3]
4000EEW_B02_U13_0845,carve,,[kɑːrv],v.,To <i>carve</i> means to cut into something.,My father usually <b>carves</b> the turkey for Thanksgiving.,My father usually {{c1::carves}} the turkey for Thanksgiving.,"""<img src=""""4000EEW_B02_U13_0845.jpg"""" />""",[sound:4000EEW_B02_U13_0845.word.mp3],[sound:4000EEW_B02_U13_0845.definition.mp3],[sound:4000EEW_B02_U13_0845.example.mp3]
4000EEW_B02_U13_0846,consult,,[kənsʌ́lt],v.,To <i>consult</i> means to ask someone for help.,I will <b>consult</b> my accountant to find a way to pay my bills.,I will {{c1::consult}} my accountant to find a way to pay my bills.,"""<img src=""""4000EEW_B02_U13_0846.jpg"""" />""",[sound:4000EEW_B02_U13_0846.word.mp3],[sound:4000EEW_B02_U13_0846.definition.mp3],[sound:4000EEW_B02_U13_0846.example.mp3]
4000EEW_B02_U13_0847,emergency,,[imə́ːrdʒənsi],n.,An <i>emergency</i> is a time when someone needs help right away.,There is a huge fire in my house! This is an <b>emergency</b>!,There is a huge fire in my house! This is an {{c1::emergency}}!,"""<img src=""""4000EEW_B02_U13_0847.jpg"""" />""",[sound:4000EEW_B02_U13_0847.word.mp3],[sound:4000EEW_B02_U13_0847.definition.mp3],[sound:4000EEW_B02_U13_0847.example.mp3]
4000EEW_B02_U13_0848,fortune,,[fɔ́ːrʧən],n.,<i>Fortune</i> means the things that happen but are not controlled by a person.,I have good <b>fortune</b> when I play cards.,I have good {{c1::fortune}} when I play cards.,"""<img src=""""4000EEW_B02_U13_0848.jpg"""" />""",[sound:4000EEW_B02_U13_0848.word.mp3],[sound:4000EEW_B02_U13_0848.definition.mp3],[sound:4000EEW_B02_U13_0848.example.mp3]
4000EEW_B02_U13_0849,guarantee,,[gæ̀rəntíː],v.,I will <i>guarantee</i> that the loan will be repaid.,I <b>guarantee</b> that the sun will come up in the morning.,I {{c1::guarantee}} that the sun will come up in the morning.,"""<img src=""""4000EEW_B02_U13_0849.jpg"""" />""",[sound:4000EEW_B02_U13_0849.word.mp3],[sound:4000EEW_B02_U13_0849.definition.mp3],[sound:4000EEW_B02_U13_0849.example.mp3]
4000EEW_B02_U13_0850,initial,,[iníʃəl],adj.,<i>Initial</i> shows that something is first.,The <b>initial</b> step when writing a paper is to find a good topic.,The {{c1::initial}} step when writing a paper is to find a good topic.,"""<img src=""""4000EEW_B02_U13_0850.jpg"""" />""",[sound:4000EEW_B02_U13_0850.word.mp3],[sound:4000EEW_B02_U13_0850.definition.mp3],[sound:4000EEW_B02_U13_0850.example.mp3]
4000EEW_B02_U13_0851,intense,,[inténs],adj.,An <i>intense</i> thing is very strong.,The skunk made an <b>intense</b> odor that filled the air.,The skunk made an {{c1::intense}} odor that filled the air.,"""<img src=""""4000EEW_B02_U13_0851.jpg"""" />""",[sound:4000EEW_B02_U13_0851.word.mp3],[sound:4000EEW_B02_U13_0851.definition.mp3],[sound:4000EEW_B02_U13_0851.example.mp3]
4000EEW_B02_U13_0852,lend,,[lend],v.,To <i>lend</i> something is to give it to someone for a short time.,"My sister lost her pen, so I will <b>lend</b> her mine.","My sister lost her pen, so I will {{c1::lend}} her mine.","""<img src=""""4000EEW_B02_U13_0852.jpg"""" />""",[sound:4000EEW_B02_U13_0852.word.mp3],[sound:4000EEW_B02_U13_0852.definition.mp3],[sound:4000EEW_B02_U13_0852.example.mp3]
4000EEW_B02_U13_0853,peak,,[piːk],n.,The <i>peak</i> is the very top of a mountain.,There is snow on the <b>peaks</b> of those mountains.,There is snow on the {{c1::peaks}} of those mountains.,"""<img src=""""4000EEW_B02_U13_0853.jpg"""" />""",[sound:4000EEW_B02_U13_0853.word.mp3],[sound:4000EEW_B02_U13_0853.definition.mp3],[sound:4000EEW_B02_U13_0853.example.mp3]
4000EEW_B02_U13_0854,potential,,[pouténʃəl],adj.,<i>Potential</i> means capable of being but not yet actual or real.,I’ve thought of some <b>potential</b> problems with your idea.,I’ve thought of some {{c1::potential}} problems with your idea.,"""<img src=""""4000EEW_B02_U13_0854.jpg"""" />""",[sound:4000EEW_B02_U13_0854.word.mp3],[sound:4000EEW_B02_U13_0854.definition.mp3],[sound:4000EEW_B02_U13_0854.example.mp3]
4000EEW_B02_U13_0855,pride,,[praid],n.,<i>Pride</i> is a feeling of happiness about oneself or one’s things.,I take <b>pride</b> in getting good grades.,I take {{c1::pride}} in getting good grades.,"""<img src=""""4000EEW_B02_U13_0855.jpg"""" />""",[sound:4000EEW_B02_U13_0855.word.mp3],[sound:4000EEW_B02_U13_0855.definition.mp3],[sound:4000EEW_B02_U13_0855.example.mp3]
4000EEW_B02_U13_0856,proof,,[pruːf],n.,<i>Proof</i> is a fact that shows something is real.,They used his fingerprint for <b>proof</b> that he committed the crime.,They used his fingerprint for {{c1::proof}} that he committed the crime.,"""<img src=""""4000EEW_B02_U13_0856.jpg"""" />""",[sound:4000EEW_B02_U13_0856.word.mp3],[sound:4000EEW_B02_U13_0856.definition.mp3],[sound:4000EEW_B02_U13_0856.example.mp3]
4000EEW_B02_U13_0857,quit,,[kwit],v.,To <i>quit</i> something means to stop doing it.,I <b>quit</b> running because I got tired.,I {{c1::quit}} running because I got tired.,"""<img src=""""4000EEW_B02_U13_0857.jpg"""" />""",[sound:4000EEW_B02_U13_0857.word.mp3],[sound:4000EEW_B02_U13_0857.definition.mp3],[sound:4000EEW_B02_U13_0857.example.mp3]
4000EEW_B02_U13_0858,spin,,[spin],v.,To <i>spin</i> is to turn around in circles.,The boy kept <b>spinning</b> until he fell down.,The boy kept {{c1::spinning}} until he fell down.,"""<img src=""""4000EEW_B02_U13_0858.jpg"""" />""",[sound:4000EEW_B02_U13_0858.word.mp3],[sound:4000EEW_B02_U13_0858.definition.mp3],[sound:4000EEW_B02_U13_0858.example.mp3]
4000EEW_B02_U13_0859,tiny,,[táini],adj.,A <i>tiny</i> thing is very small.,A baby’s hand is <b>tiny</b>.,A baby’s hand is {{c1::tiny}}.,"""<img src=""""4000EEW_B02_U13_0859.jpg"""" />""",[sound:4000EEW_B02_U13_0859.word.mp3],[sound:4000EEW_B02_U13_0859.definition.mp3],[sound:4000EEW_B02_U13_0859.example.mp3]
4000EEW_B02_U13_0860,tutor,,[tjúːtər],n.,A <i>tutor</i> is someone who gives lessons to one student.,My sister is bad at math. So my mother hired a <b>tutor</b> to help her.,My sister is bad at math. So my mother hired a {{c1::tutor}} to help her.,"""<img src=""""4000EEW_B02_U13_0860.jpg"""" />""",[sound:4000EEW_B02_U13_0860.word.mp3],[sound:4000EEW_B02_U13_0860.definition.mp3],[sound:4000EEW_B02_U13_0860.example.mp3]
4000EEW_B02_U14_0861,apparent,,[əpǽrənt],adj.,<i>Apparent</i> means clear or easy to see.,Her happiness was <b>apparent</b> from the smile on her face.,Her happiness was {{c1::apparent}} from the smile on her face.,"""<img src=""""4000EEW_B02_U14_0861.jpg"""" />""",[sound:4000EEW_B02_U14_0861.word.mp3],[sound:4000EEW_B02_U14_0861.definition.mp3],[sound:4000EEW_B02_U14_0861.example.mp3]
4000EEW_B02_U14_0862,blind,,[blaind],adj.,A <i>blind</i> person or animal cannot see.,The <b>blind</b> man didn’t see the hole and almost fell in.,The {{c1::blind}} man didn’t see the hole and almost fell in.,"""<img src=""""4000EEW_B02_U14_0862.jpg"""" />""",[sound:4000EEW_B02_U14_0862.word.mp3],[sound:4000EEW_B02_U14_0862.definition.mp3],[sound:4000EEW_B02_U14_0862.example.mp3]
4000EEW_B02_U14_0863,calculate,,[kǽlkjəlèit],v.,To <i>calculate</i> is to find an answer using math.,I <b>calculated</b> how much money I would need to buy the car.,I {{c1::calculated}} how much money I would need to buy the car.,"""<img src=""""4000EEW_B02_U14_0863.jpg"""" />""",[sound:4000EEW_B02_U14_0863.word.mp3],[sound:4000EEW_B02_U14_0863.definition.mp3],[sound:4000EEW_B02_U14_0863.example.mp3]
4000EEW_B02_U14_0864,chat,,[tʃæt],v.,To <i>chat</i> is to talk with someone.,"Even though they were far apart, the couple <b>chatted</b> every day.","Even though they were far apart, the couple {{c1::chatted}} every day.","""<img src=""""4000EEW_B02_U14_0864.jpg"""" />""",[sound:4000EEW_B02_U14_0864.word.mp3],[sound:4000EEW_B02_U14_0864.definition.mp3],[sound:4000EEW_B02_U14_0864.example.mp3]
4000EEW_B02_U14_0865,commit,,[kəmít],v.,To <i>commit</i> to something is to promise to do it.,"Seth wanted to go home, but he had <b>committed</b> to finishing the job.","Seth wanted to go home, but he had {{c1::committed}} to finishing the job.","""<img src=""""4000EEW_B02_U14_0865.jpg"""" />""",[sound:4000EEW_B02_U14_0865.word.mp3],[sound:4000EEW_B02_U14_0865.definition.mp3],[sound:4000EEW_B02_U14_0865.example.mp3]
4000EEW_B02_U14_0866,compose,,[kəmpóuz],v.,To <i>compose</i> something is to make it from smaller parts.,Tony <b>composed</b> his report using many sources of information.,Tony {{c1::composed}} his report using many sources of information.,"""<img src=""""4000EEW_B02_U14_0866.jpg"""" />""",[sound:4000EEW_B02_U14_0866.word.mp3],[sound:4000EEW_B02_U14_0866.definition.mp3],[sound:4000EEW_B02_U14_0866.example.mp3]
