Id,Mixed Meaning
4000EEW_B02_U12_0832,"<ul><li>An ingredient is one part of a mixture. For example, if you're making chocolate chip cookies, flour is just one ingredient you'll need.</li><li>Ingredient comes from the Latin word ingredientem, meaning ""that which enters into."" It's not just for cookies. If you're in the lab mixing a chemical compound, you carefully add one ingredient after the next and record the results (and hope nothing blows up). It's also an element or factor of something, such as how that song you wrote has all the ingredients to be a sure-fire hit! Remember that it ends in -ent, since often what you Eat has ingrediEnts.</li></ul>"
4000EEW_B02_U12_0833,"<ul><li>To insist on something is to demand or swear to it. You can insist that you didn't eat the last piece of cake, and then insist that your brother show your mom the bits of frosting on his fingers.</li><li>The verb insist comes from the Latin insistere, meaning “persist,” “dwell upon,” or “stand on.” To insist on something, like a room with a view, is to say that you must have it. To insist that you never met that man before in your life — even though there's a picture of the two of you together — is to claim that you're telling the truth. To insist on tapping your foot on the chair leg is annoying.</li></ul>"
4000EEW_B02_U12_0834,"<ul><li>A mess is a generally dirty state, like your bedroom, your hair, or anything else that's untidy. If you make a huge mess when you cook, you probably try to get someone else to do the clean-up.</li><li>In addition to describing a jumble of stuff, mess can describe a confused or difficult situation, like the mess your finances are in if you have seven credit cards. When you mess something up, you cause disorder and maybe even wreck something, like a friendship you messed up by gossiping. And you might eat in a mess hall, a cafeteria for members of the armed forces — and it's probably very neat and orderly, not messy.</li></ul>"
4000EEW_B02_U12_0835,"<ul><li>Metal is a shiny, hard, solid material, such as iron or aluminum. If, when you smile, you flash a brilliant metal grin, it's probably because of your braces.</li><li>The Greek root metallon originally meant quarry or mine, and later came to also mean metal. Silver jewelry is made of metal, and so are things like car engines and tin cans. The genre of rock music popularly known as metal gets its name from the heavy sound, especially of the guitar solo, played on electric guitars — made of metal.</li></ul>"
4000EEW_B02_U12_0836,"<ul><li>A monitor is a device or a person who watches or checks to see that all is going well. If you're babysitting, you might use a baby monitor so you can hear if the baby cries in its sleep.</li><li>Monitor can be used as a noun or a verb, both of which are concerned with watching over someone or something. A heart monitor displays the rhythm of your heart. A hall monitor is a person who checks to see that students aren't wandering the halls. If you are monitoring your grades, you are keeping track of them to see if they go up or down. And some parents buy a program that will monitor your Internet use, though you might think that this is an invasion of privacy.</li></ul>"
4000EEW_B02_U12_0837,"<ul><li>To oppose something is to go against it or fight hard to stop it. A senator might oppose a bill, or a teen might oppose authority.</li><li>Words starting with opp-,  like opposite, opponent, and oppose, usually hint that there's a disagreement somewhere. You might oppose a decision if you don't agree with it or if it's the opposite of what you believe or know is right. Sometimes, though, to oppose just means to be on the other team.</li></ul>"
4000EEW_B02_U12_0838,"<ul><li>Passive is the opposite of active. In English class, you might be advised to avoid the passive voice. In chemistry, a passive substance doesn't react. Passive resistance is a way to protest peacefully.</li><li>When you're passive, you don't participate much and you're not very emotional. In chemistry, passive means to be ""unreactive except under special or extreme conditions; inert."" Gandhi used the term passive resistance in the mid-twentieth century to describe the nonviolent approach Indians should use in their quest to become an independent nation.</li></ul>"
4000EEW_B02_U12_0839,"<ul><li>Quantity tells you “how much.” If you're concerned with quantity not quality, it's more important how many you have than how good they are.</li><li>If you get confused about quantity vs. quality, remember that quant is close to count. In Latin, quantus means “how great” or “how much.” When you count how many oranges are in a bowl, you know the quantity. When you count the grains of sand in a desert, you're counting a very large quantity . . . and you need a new hobby.</li></ul>"
4000EEW_B02_U12_0840,"<ul><li>If you sue someone, you're accusing them (in court) of doing something wrong or illegal and demanding that they pay for it. Almost every time someone sues, they're looking for money.</li><li>One of the last things you want to hear is ""I'll sue you!"" People sue for a lot of reasons. If you slipped on the ice, you could sue the sidewalk owner for not putting salt down. If you were in a car accident, you could sue the other driver. Years ago, someone sued McDonald's for scalding themselves on a cup of coffee they said was too hot. Sometimes it seems like people will find any reason to sue.</li></ul>"
4000EEW_B02_U13_0841,"<ul><li>When you want to say that something is enough or good enough for a particular need, use the adjective adequate. You might have an adequate amount of flour for a batch of pancakes, but not a lot extra.</li><li>Adequate can also describe something that is acceptable or satisfactory, but not any better than that. You might say that a student's grades are adequate but need improvement. This word is from Latin adaequāre""to make equal,"" from the prefix ad- plus aequare ""to equal.""</li></ul>"
4000EEW_B02_U13_0842,"<ul><li>Anxiety is the vague, uneasy feeling you get when you're dreading something. Anxiety can also be a permanent state of nervousness that some people with mental illnesses experience, a milder version of panic.</li><li>When a scary or unpleasant event is looming, like getting a family portrait taken the year you have braces, you might feel some anxiety. You might also feel anxiety about passing chemistry, especially if you’ve skipped a lot of classes. Someone who suffers from a mild or severe mental illness might feel anxiety all the time. Deep breathing, playing relaxing music, and medication have all been known to help reduce anxiety.</li></ul>"
4000EEW_B02_U13_0843,"<ul><li>An army is an organized group of fighters, especially a country's official military force. When a country goes to war, it sends an army to fight.</li><li>An army is typically defined as fighting on land, while a navy battles at sea, and some countries make this even more clear by distinguishing their ""Land Army"" from their ""Air Army."" The 14th century meaning of army was ""armed expedition,"" from the Old French armée and the Latin root armata, ""armed, equipped, or in arms.""</li></ul>"
4000EEW_B02_U13_0844,"<ul><li>A billion is 1,000,000,000. There are over 7 billion people in the world, the last time we checked.</li><li>While billion may sounds like a made-up number like zillion — which just means a lot — it's a very real number, specifically 1,000,000,000. That's a pretty hard number to imagine, but one way to think of it is as a thousand millions. If you have a billion dollars, you're very rich: a billionaire. Money spent by the government is often measured in billions. In England, this word often refers to a different number: 1,000,000,000,000, or one million millions.</li></ul>"
4000EEW_B02_U13_0845,"<ul><li>When you cut a design into a piece of wood or marble, you carve it. Headstone engravers carve people's names and the dates of their births and deaths into gravestones.</li><li>You might carve your initials into the tree in your backyard, or carve a walking stick out of a large branch. Some artists work by carving shapes from clay or granite, and a chef learns to carve, or precisely cut up, large cuts of meat and poultry. The Old English root word is ceorfan, ""to cut, slay, carve, or engrave.""</li></ul>"
4000EEW_B02_U13_0846,"<ul><li>To consult is to give or get help or advice. When you don't know the meaning of a word, you consult a dictionary. That's why you're here, right?</li><li>People making a big decision will usually consult their family and friends. To consult can also mean a type of professional advice: a consultant is a freelance worker paid to help a business out with something. Consulting is a complicated word that can mean to give or receive advice. When in doubt, find someone you trust to consult.</li></ul>"
4000EEW_B02_U13_0847,"<ul><li>When there's an emergency, the stakes are high and you may need to act quickly. There's a tornado!  Someone's collapsed! The cat's stuck in a tree! It's an emergency! Call 911!</li><li>You can see the word emerge in emergency, and an emergency suddenly emerges — it happens all of a sudden and can take you by surprise. Governments declare a ""state of emergency"" if there is a disaster that they can't handle, and they need support. If you hear sirens and see flashing lights, there's probably an emergency . . . unless you're in a dance club.</li></ul>"
4000EEW_B02_U13_0848,"<ul><li>A fortune can be a large amount of money, and fortune is a form of fate. So you want to have the good fortune to make a fortune during your career.</li><li>Fortuna was the Roman goddess of fate and luck. She was sometimes depicted with a wheel, and the random spinning of her ""wheel of fortune"" became a symbol for the unpredictability of fate (and, much later, the title of a popular game show). A fortune teller can look into her crystal ball or tarot cards and predict your future. But her predictions are probably about as accurate as the ""prophecy"" that comes inside your fortune cookie.</li></ul>"
4000EEW_B02_U13_0849,"<ul><li>To guarantee is to promise or to a make binding agreement. If a baseball player guarantees his team will win the World Series, he better not lead the league in strikeouts.</li><li>Guarantee is a word that is both a noun and a verb: the noun means ""a binding agreement"" and the verb is the act of making that agreement. This word seems to have come from garante, the Spanish word for ""protect"" and it's related to the Old French word warrant, which means ""to authorize."" Today, we often come across guarantee in advertisements, and you might wonder how they might guarantee to make your social life better if your teeth are whiter!</li></ul>"
4000EEW_B02_U13_0850,"<ul><li>The first letter of your name is your initial. The first thing you say to someone is your initial greeting. Initial is something that occurs first or at the beginning.</li><li>If someone asks you to initial a form, they're asking you to sign by writing your initials on it. If your name is Inna Instant, you would write I.I., and you'd probably write it really quick! The first draft of a paper might be called your initial pass at getting your ideas down. If you say that these are your initial ideas, it implies that you will be coming up with more.</li></ul>"
4000EEW_B02_U13_0851,"<ul><li>Intense means strong or extreme. If you accidentally spill a cup of hot coffee on yourself, you’ll probably feel intense heat, intense pain, and — if anyone happened to be watching — intense embarrassment.</li><li>When using intense, we often refer to a specific feeling or emotion, as in the case of “intense dread” or “intense happiness.” Intense can also be used to describe exciting experiences as well as people with strong or insistent personalities. For example, if your intense friend insists on taking you bungee jumping, you’re guaranteed to have an intense experience.  Intense comes from a Latin word meaning “stretched,” implying that something has been stretched to its maximum limit.</li></ul>"
4000EEW_B02_U13_0852,"<ul><li>When you lend something, you loan it or let someone borrow it. You might, for example, lend your bike to your brother — if he promises to be careful with it.</li><li>Libraries lend people books, and car rental companies lend people cars — in both cases, the item that's been borrowed is supposed to be returned eventually. Another way to lend is to ""add a quality to,"" or ""be suitable for."" You could say that you think your hat lends you a mysterious quality, or that your trench coat lends itself to walking through a foggy city at dusk.</li></ul>"
4000EEW_B02_U13_0853,"<ul><li>Use the word peak to refer to the pointy top of something, such as the jagged peak of a tall mountain or the tapered peak that forms when you beat egg whites for a recipe.</li><li>Peak is one of those words that can play a variety of roles in a sentence. The noun peak can refer to something that is a literal highpoint, like that snow-covered peak over there in the distance, but you will also hear it used to refer to more abstract high points, such as a time of greatest success (""at the peak of your career"") or top performance (""the stock price reached a peak over the summer"") or highest level (""the peak of the flu season""). The word also has a verb form (""Don’t peak too soon"") and an adjective form (""peak productivity"") that carry similar meanings.</li></ul>"
4000EEW_B02_U13_0854,"<ul><li>If you can describe something as possible but not yet actual, choose the adjective potential. Companies try to reach potential customers through advertising.</li><li>Potential, from the Latin potentia ""power,"" sounds more complicated than it is. It describes something or someone that has the power to become something. A potential success is not yet a success but could be if circumstances are right. When a situation has the potential for disaster, it could turn bad easily. You have potential if you have a natural but undeveloped ability to do something and a building with potential will be really nice once it's fixed up.</li></ul>"
4000EEW_B02_U13_0855,"<ul><li>The noun pride describes a feeling of happiness that comes from achieving something. When you do a good job or finish a difficult task, you feel pride. Pride can also have a negative meaning and refer to exceedingly high self-regard.</li><li>If you know someone with the negative kind of pride, you might notice that his pride makes it hard for people to like him. Pride can also refer to the standards you have for yourself — your dignity. For example, you might have too much pride to ask for help when you need it. Pride also acts as a verb meaning ""be proud of."" You might pride yourself on being punctual, or pride yourself on always having a daring, trendsetting haircut.</li></ul>"
4000EEW_B02_U13_0856,"<ul><li>Proof is the evidence that shows something is true or valid. When you show the logical steps that take you from your hypothesis that the world is round to the conclusion that it is, you're formulating a proof.</li><li>Photographic prints that haven't been touched up are also called proofs, and that’s also what you call the first copy of a printed text, before it's checked for errors and corrected. When you check a text for errors, you're proofing. If your poker strategy is foolproof, even somebody who knows nothing about poker — a poker fool, that is — can’t get it wrong. Proof is a word you’ll see on bottles of alcohol, too: 90-proof rum means it's 45% alcohol.</li></ul>"
4000EEW_B02_U13_0857,"<ul><li>To quit means to stop doing something. You might quit a lousy job or quit eating dessert.</li><li>The verb quit can also mean to leave a place or depart from a location. This meaning isn't used as frequently in conversation now as it used to be, but you can still use it to mean leaving somewhere. For example, if you choose to move from sunny California to Maine because you think you'll like the seasons better, you could say you plan to quit California for a colder climate.</li></ul>"
4000EEW_B02_U13_0858,"<ul><li>When you spin, you whirl around in a circle. Many kids love to spin on a merry-go-round.</li><li>You can spin in a happy circle, and you can describe this movement as a spin. Another way to use the word spin is for a deliberate twisting of information, especially when it's done by politicians. A candidate might spin a news report to make herself look more appealing, for example, or spin bad news to make it appear good. This meaning of spin is relatively new, not being used much until the mid-1980's.</li></ul>"
4000EEW_B02_U13_0859,"<ul><li>Tiny means very small. Atoms are tiny. Hawaii is tiny, in comparison to the continental US. If you wear a size five shoe as an adult, you could be said to have tiny feet.</li><li>Throughout the world there are stories about tiny mythical heroes, such as Tom Thumb, a tiny baby, who grew into a tiny child then a man so tiny he was no larger than an average man's thumb. One of the things that people love about doll houses are seeing all the artifacts we live with day to day replicated in miniature, or tiny, form.</li></ul>"
4000EEW_B02_U13_0860,"<ul><li>A tutor is someone who gives private instruction: tutors teach one-on-one.</li><li>If you ever helped someone learn something, you could say you tutored them. ""Tutor"" is also the title of someone who works with students one-on-one. There are writing tutors, music tutors, math tutors, and history tutors. You can find a tutor for just about anything you'd like to learn. Tutoring also sometimes means being the guardian for someone. In all cases, tutors tend to be helpful to their tutees: the people they tutor.</li></ul>"
4000EEW_B02_U14_0861,"<ul><li>Apparent means obvious, but — and this is confusing — it can also mean something that seems to be true but isn't definite. ""The train's arrival is apparent — it's in the station — but apparently my friend missed it because she is not getting off.""</li><li>It makes sense that apparent has the same ancient root as appear because it's about what is plain to see. Its subtle power of suggestion, however, is wonderfully useful. The ""heir apparent"" technically means next in line, but the ink isn't dry. The power of apparent is that it leaves the door open for a little ambiguity. Maybe the heir apparent will be the next king, or maybe he'll be overthrown in a bloodless coup by his apparently more ambitious cousin.</li></ul>"
4000EEW_B02_U14_0862,"<ul><li>Someone who's blind can't see. People who are blind can often get around easily with the aid of a cane and sometimes a service dog.</li><li>You might get hit by a baseball and end up blind in one eye, or be temporarily blind after a trip to the eye doctor. The word also means ""without looking,"" as in a blind taste test of three different brands of chocolate milk. A figurative way to be blind is to refuse or be unable to see the truth: ""He was blind to the reality of the situation."" This tendency can be called a person's ""blind side.""</li></ul>"
4000EEW_B02_U14_0863,"<ul><li>To calculate is to compute, by figuring out a mathematical equation or a situation. You can calculate your monthly student loan payments, or calculate the risk of not paying them on time.</li><li>Calculate derives from the Latin word for ""count."" When you calculate, you either count something up or calculate on something happening. You might be able to calculate the answer to a simple equation in your head but need a calculator to figure out a more complex problem. And when someone is calculating, they are scheming or conniving, always figuring out the fastest way to get ahead.</li></ul>"
4000EEW_B02_U14_0864,"<ul><li>When you chat, you have a brief, casual conversation. You might chat with your mail carrier when she delivers a package to your door.</li><li>If you're in a talkative mood, you can chat with your roommate, the bus driver, your boss, and a drugstore cashier all before lunchtime. The conversation that happens when you chat is also called a chat: ""Let's sit down and have a chat sometime this week."" The earliest meaning of chat was ""frivolous talk,"" which now is more likely to be called chatter or chitchat.</li></ul>"
4000EEW_B02_U14_0865,"<ul><li>To commit is to fully dedicate yourself to something.  To commit  yourself to being the coolest kid on the beach means spending hours at the mall trying on trunks and flip-flops.</li><li>Commit can also mean ""perform an act"" — often the kind that can get you in trouble.  Just ask anyone who's committed theft, or arson, or vandalism. If you are committing another person, that means you are sending that person to an institution. Someone may be committed to prison, or to a psychiatric hospital for treatment.</li></ul>"
4000EEW_B02_U14_0866,"<ul><li>To compose is to put something together, like a song, poem, or even yourself. You might want to compose yourself before returning to the party after a good cry.</li><li>The word compose began with the Latin ponere, which means ""to put, place,"" referring to placing or arranging any piece of work. It's been in the music business since the 1590s, and it's generally still used to describe the act of writing songs. But you can use it whenever you're pulling something together: you might compose an essay for English class, or notice that the class is composed of all girls.</li></ul>"
4000EEW_B02_U14_0867,"<ul><li>A dormitory is a building at a boarding school, college, or university where students live. Many students have roommates in a dormitory, and sometimes those roommates put up really cheesy posters of shirtless guys leaning on cars.</li><li>The word dormitory is from the Latin dormitorium for ""sleeping place,"" and if you keep going back you get to dormire for ""to sleep."" A dormitory is where students who live at school sleep — well, it’s where their beds are anyway. Often the first time kids sleep away at school is when they go to college. 
There are often different dorms for freshman and older students. Dormitories are also called dorms, residence halls, and student residences.</li></ul>"
4000EEW_B02_U14_0868,"<ul><li>The noun exhaust refers to what comes out of your car's tailpipe. It consists of the burned gases and particulate matter that are created by the engine. As a verb, the word exhaust means to use something up, such as a food supply or your energy.</li><li>The exhaust system in your car is the part that takes the waste created by the car in the form of gas or smoke and expels it through the tailpipe. The noun exhaust appeared in the 19th century, after the invention of the engine. Before that, the word, as a verb, referred only to depleting something, such as a natural resource. Miners deplete a mineral deposit and exhaust the resource.</li></ul>"
4000EEW_B02_U14_0869,
4000EEW_B02_U14_0870,"<ul><li>To ignore something is to disregard it. If you ignore the rules of grammar, you're likely to be misunderstood.</li><li>It's easy to see the relationship between ignore and a word such as ignorant. To be ignorant of something is to know nothing about it. A good way to be ignorant about something is to ignore it. In other words, if you want to be ignorant about a certain subject—that is, if you want to know nothing about it—then by all means ignore it. Pay it no mind.</li></ul>"
4000EEW_B02_U14_0871,"<ul><li>Something obvious is plain to see and easily understandable. It was obvious that you didn't enjoy your meal because I found it rolled in a napkin and shoved under the rug.</li><li>There's nothing vague about the adjective obvious — it's right there in front of your eyes! It describes something that's easy to figure out or the most straightforward option. If someone states the obvious, you're likely to respond with a sarcastic ""No duh!"" or ""Thanks Sherlock."" If obvious isn't the obvious word of choice, you can try a synonym such as ""evident"" or ""apparent.""</li></ul>"
4000EEW_B02_U14_0872,"<ul><li>Physics is a kind of science, specifically the science of matter and energy and how they interact.</li><li>Physics is the study of physical matter, energy, and how they work together. Kinetic energy and potential energy are part of physics. Although it may sound really advanced — and it is — physics is involved in everything we do. Champion pool players have a good understanding of how physics influences the movement of the balls. People who design roller coasters better know their physics. And if you've ever rigged up a pulley or a lever, then you've done basic physics.</li></ul>"
4000EEW_B02_U14_0873,"<ul><li>If a friend asks you to invest in her new start-up in exchange for a portion, or part, of the company’s profits, consider the agreement carefully. Remember, a portion of zero is still zero.</li><li>Portion can also refer to the amount of food provided for each person at a meal. If you’re reviewing a restaurant, for example, you'll want to take note of the portion size. In addition, portion can be used as a verb meaning “divide and distribute something.” At birthday parties, we find it odd that the person celebrating her birthday is expected to perform the annoying task of portioning her own cake (perhaps it’s so she can claim the biggest portion).</li></ul>"
4000EEW_B02_U14_0874,"<ul><li>To remind is to cause someone to remember, as when George Orwell writes, ""The aim of a joke is not to degrade the human being, but to remind him that he is already degraded.""</li><li>In remind, which appears in the early 17th century, the re-, of course, means ""again,"" so the word can be thought of as ""to mind again,"" or ""think again,"" meaning to put something in someone's mind, to make them remember.</li></ul>"
4000EEW_B02_U14_0875,"<ul><li>If you handle the correspondence and clerical work for your boss or your company, you are a secretary. One of your duties as a secretary is to open the mail.</li><li>Today, the preferred term for the kind of secretary who works in an office is administrative assistant. The noun secretary can also refer to the person who is in charge of an administrative department in the government, like the Secretary of Defense. A secretary can also be a piece of furniture — specifically, a type of writing desk.</li></ul>"
4000EEW_B02_U14_0876,"<ul><li>Whether you're talking about a punishment, the weather, or how bad your flu is, severe indicates that it's at the limit of the spectrum.</li><li>The austerity of a word like severe serves many purposes. The common usage is to describe tough or painful stuff, like icy snowstorms, merciless punishments, or grim conditions (e.g., a severe depression). If things are severe, they're serious. Severe could also describe a person's haircut if it's brutally short and angular, or their wardrobe if it tends to be all black with no flourishes.</li></ul>"
4000EEW_B02_U14_0877,"<ul><li>If you are especially good at something, you have a talent. You can have a talent for singing or a talent for getting others to talk about themselves. People who work in creative professions are often called ""the talent.""</li><li>In Biblical times, a talent was a unit of money, and a New Testament parable tells of a master punishing a servant for hiding, rather than investing, a bag of talents in the master's absence. The interpretation of this parable to mean that you should not hide your ""God-given talents"" has led to the current meaning of the word as the special qualities a person possesses.</li></ul>"
4000EEW_B02_U14_0878,"<ul><li>A thesis is the most important or foundational idea of an argument. If the thesis of your paper is that chocolate ice cream is better than vanilla, you'll need to back that up with plenty of sundae-based research.</li><li>The noun thesis has more than one important sense to it. One definition of thesis is that it is the most important or foundational idea of an argument, presentation, or piece of writing. But it can also mean a large work of art, criticism, or scientific research that represents original research and is generally the final requirement for an academic degree.</li></ul>"
4000EEW_B02_U14_0879,"<ul><li>Uniform means the same. If your school has a uniform it means all the kids wear the same clothes. If you are told to make your handwriting uniform, they want your letters to be the same shape and size over and over.</li><li>When you break uniform down, you'll see uni for one, and form, for shape––things that are uniform have the shape. If you are building a Zombie Army, it's more fun to create zombies who are not uniform. Some can wear shredded shrouds, others can wear whatever they find. Some walk just fine, others leave body parts wherever they go.</li></ul>"
4000EEW_B02_U14_0880,"<ul><li>If you are getting your eyes checked, a doctor is checking on your vision — or your ability to see. But if you have visions of unicorns romping over rainbows, that's a whole other issue that the eye doctor can't address.</li><li>The noun vision describes how well you can see, but it can also refer to things you may see, but that aren't physically there. Sometimes people claim to have religious visions of God, angels, the Virgin Mary, and so on. The word can also be used to describe something that is lovely: ""The bride was a vision in white.""</li></ul>"
4000EEW_B02_U15_0881,"<ul><li>To absorb is to take in or suck up like a sponge. If you don't hear your mother calling because you are reading, you could say you were absorbed in the book.</li><li>If your parents buy groceries for a party you are throwing and don't make you pay, you could say that they decided to absorb the cost of the food. Young minds absorb information easily. The word, absorbent, describes something that is capable of absorbing something else. When you go swimming on a chilly day, it's best to carry an absorbent towel so that all of the water is absorbed from the surface of your skin.</li></ul>"
4000EEW_B02_U15_0882,"<ul><li>A boss is an authority figure, often the person who tells you what to do at work. If you work as a waiter, your boss might be the restaurant manager.</li><li>A boss at a job might hire you, give you feedback on your work, or tell you what your responsibilities are. If someone is in charge of a group, you could describe that person as a boss as well: ""She's the boss of the French club — she tells everyone what to do."" To boss someone is to do just this, order them around. Boss comes from a Dutch root, baas, ""master.""</li></ul>"
4000EEW_B02_U15_0883,"<ul><li>Something that's charitable has to do with helping people who need assistance. A charitable act might include volunteering at a soup kitchen or homeless shelter.</li><li>A charitable donation is money you give to an organization that helps needy people — and the organization itself is also charitable. You can also use the word to describe, more generally, someone who's kind and generous, or the quality of giving people the benefit of the doubt: ""He always had such a charitable opinions of me."" Charitable comes from charity, from the Old French charité, ""mercy or compassion.""</li></ul>"
4000EEW_B02_U15_0884,"<ul><li>A committee is a group of people who come together to work on a project. Members of a committee commit their efforts to accomplishing a particular task, which can be anything from throwing a party to ending a war.</li><li>You could join the Committee to Protect Groundhogs, Bumblebees and Chickadees (yes, there really is one), or you might aspire to a committee that debates questions of national importance. Committees are often subgroups of larger bodies, and the U.S. House of Representatives' Committee on Agriculture, which focuses on issues in the farming and poultry industries, is a good example. Committee members become experts on issues in agriculture and the group can then make informed decisions efficiently.</li></ul>"
4000EEW_B02_U15_0885,"<ul><li>When you and someone else have agreed on something and that agreement is both binding and enforceable by law, you have a contract. When you rent an apartment, you and your future landlord sign a rental contract.</li><li>You can also use the word in this sense as a verb meaning ""to hire."" Wouldn't you like to contract someone to clean your room for you? In other verbal uses of contract, place the accent on the second syllable — kun-TRAKT. If you contract a disease, you catch it, but only use this if it's something serious. You catch a cold, but contract malaria. Contract also means ""shrink."" When the economy contracts, consumers stop buying things, and people lose their jobs.</li></ul>"
4000EEW_B02_U15_0886,"<ul><li>A crew is an organized group of workers. A crew might keep a ship sailing smoothly or pave a road smoothly. Either way, crew implies cooperation among workers.</li><li>If you're hired as a member of a ship's crew, it will be your job (along with the other crew members), to keep the boat running smoothly, and the passengers happy and well-fed. Crews are usually a group of people who work together on a ship, airplane, or movie — but the word is also a slang term for a group of friends who hang out together — like a crowd or posse.</li></ul>"
4000EEW_B02_U15_0887,"<ul><li>Devote means to give to. If you devote yourself to jump-roping, you might be found in your driveway every free moment of the day practicing.</li><li>Nuns and priests are said to devote their lives to God. A knight in shining armor devotes himself to his lady. If you devote as much energy to your school work as you do to your hair, your grades should improve. If our country devoted to education even half of the resources we pour into defense, we could eliminate poverty.</li></ul>"
4000EEW_B02_U15_0888,"<ul><li>When you dig, you scoop or shovel up dirt, sand, or some other material. Your dog might whine to go outside so she can dig a hole in your dad's garden.</li><li>You can dig with your hands, a shovel, or even a tractor or backhoe. City crews dig up roads to repair water pipes, and gardeners dig small for planting bulbs. You can even say you dig your brother in the side when you jab him there. If someone says, ""I dig you,"" they mean, ""I understand,"" and if they say, ""I dig your outfit,"" they like it. Both slang usages come from 1930s African American English.</li></ul>"
4000EEW_B02_U15_0889,"<ul><li>To dine is to eat a meal, particularly the last meal of the day. When you invite friends over for dinner, you can ask them if they'd like to dine with you.</li><li>You can dine at home, or dine at a fancy restaurant — in either case, you're eating dinner. If someone tells you they ""dine out on"" a funny story, they mean it's endlessly entertaining and buys them a lot of good will and amusement. The verb dine comes from the Old French disner, ""to dine"" or ""to have a meal,"" from desjunare, ""to break one's fast.""</li></ul>"
4000EEW_B02_U15_0890,"<ul><li>To donate means to give something — money, goods, or time — to some cause, such as a charity. The word has a more altruistic meaning than does simply ""giving""; it suggests that you don't expect anything in return for the contribution.</li><li>The verb donate has always meant ""to give,"" all the way back to the Latin verb donāre, ""to give as a gift."" Trace it back even further, to the ancient Indo-European roots, and you still have that same feeling to the word — ""a gift."" But it's more than a gift — it's a gift with the intention of helping. As an African proverb says, ""If everybody in town donates one thread, the poor man has a shirt.""</li></ul>"
4000EEW_B02_U15_0891,"<ul><li>Something is double if it has two parts or if there are two versions of it. If you order a double dip ice cream cone, there will be two scoops of ice cream for you to lick.</li><li>If you fall while you're roller skating and end up with a double arm fracture, it means you broke your arm in two places. A joke with a double meaning has two of them, and if you double your tips at the coffee shop by smiling more at customers, you're making twice as much money. In addition to the adjective and verb versions of double, there's the noun: your double is someone who looks exactly like you.</li></ul>"
4000EEW_B02_U15_0892,"<ul><li>Flavor is the way something tastes. If an ice cream shop offers 50 flavors, each one of them will taste different.</li><li>The flavor of your soup can be adjusted by adding salt — and when you add ingredients to change a food's taste, you can say you flavor it.  From the flavor of food comes the sense of flavor meaning ""atmosphere"" or ""feeling."" You could say, for example, that you're not crazy about a particular clothing shop because it has such a glitzy, expensive flavor. Flavor initially meant ""smell,"" from the Vulgar Latin flator, ""odor.""</li></ul>"
4000EEW_B02_U15_0893,"<ul><li>A foundation is the base for something. You often hear about the structural foundations of buildings, but a good idea can also be the foundation of a successful business.</li><li>In the simplest sense, foundations support something else. Friendship is the foundation of a good marriage, and many svelte figures rely on girdles (known to underwear specialists as a foundation garment). But foundations are also charitable organizations. And in cosmetics, foundation is gooey make-up that's supposed to match your skin tone.</li></ul>"
4000EEW_B02_U15_0894,"<ul><li>A generation can refer to a group of people who live at the same time and are about the same age. But generation is also the act of creating something, such as income, ideas or kids.</li><li>In 1965, Pete Townsend, the guitarist of The Who, wrote a song called ""My Generation."" The Who, Jefferson Airplane, Jimi Hendrix and other popular musicians of the day were called “the Woodstock Generation,” because they performed at a famous music festival in Woodstock, New York.  Generation is used in another way when people credit those bands — along with Elvis, the Beatles and the Rolling Stones — with the generation of rock-and-roll culture.</li></ul>"
4000EEW_B02_U15_0895,"<ul><li>To handle something is to control it, the way an elephant handler might handle an elephant, or the way you would use a handle to lift a suitcase. If you're panicking, a friend might suggest you ""get a handle on yourself.""</li><li>How to get a handle on the word handle? Start with the thumb. Much like the word “thimble” is derived from “thumb,” “handle” essentially refers to an object held ""in hand,"" or placed under your control. Handle can also have a more abstract meaning, such as understanding or grasping a concept. You should be able to handle geometry before you start trig, right? A handle is also slang for a nickname. ""What's your handle?"" is another way of saying ""What's your name?""</li></ul>"
4000EEW_B02_U15_0896,"<ul><li>The noun layer describes a thin piece that's stacked on other thin pieces, like a layer of noodles in a lasagna dish. You can also apply a layer of paint to make your wall color more vivid.</li><li>Layer can also be used figuratively to describe an abstract thickness or barrier. Celebrities are known to surround themselves with managers, agents, stylists, and friends — forming a layer between them and the prying public. Layer can also be a verb. You can layer your bed with blankets on a cold night, as a layer of ice forms on the sidewalks and streets outside.</li></ul>"
4000EEW_B02_U15_0897,"<ul><li>Mud is very wet dirt. On rainy days, you might enjoy putting on your tall rubber boots and squishing around in the mud.</li><li>When you mix soil with water, you get mud — a soft, almost sticky material. Mud results from a damp environment or a recent rain. There's also the mud that masons or bricklayers use to stick stones together — it resembles mud, though it's actually mortar or plaster, and to use it when building is to mud. The word mud also showed up in 1920s as slang"" meaning ""bad coffee,"" and if your ""name is mud,"" you've got a bad reputation.</li></ul>"
