Word,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
dismiss,v.,/dɪsˈmɪs/,order or allow to leave; send away.,رد کردن، بی‌اعتنایی کردن - عزل کردن، اخراج کردن,reject, /rɪˈdʒɛkt/ <font color=darkblue>&nbsp; ignore</font><br>[sound:ignore.mp3],"""<img src=""""paste-b665b25d125d09df54e8cb3404ff04dc19e2548e.jpg"""">""","""● The government has dismissed criticisms that the country’s health policy is a mess.<br><font color=red><b>dismiss sth as sth</b></font><br>● He just laughed and dismissed my proposal as unrealistic.<br>● It’s an idea that shouldn’t be dismissed out of hand <em>(=dismissed immediately and completely)</em>.<br>● They pay attention to it and express it and don’t just <font color=""""#0080bc"""">dismiss</font> it like most people do.<br><br><font color=red><b>dismiss somebody from sth</b></font><br>● Bryant was unfairly dismissed from his post.<br><font color=red><b>dismiss somebody for sth</b></font><br>● Employees can be dismissed for sending obscene emails.<br>● Several employees were recently <font color=""""#0080bc"""">dismissed</font>.""",[sound:ankidroid_audioclip__TahlilGaran_TDictionary_dismiss_t_970j0jgs59070970446737575420.mp3][sound:ankidroid_audioclip__TahlilGaran_TDictionary_dismiss_t_970056s0g7506556079779904795.mp3]<br>[sound:ankidroid_audioclip__TahlilGaran_TDictionary_dismiss_t_970j0jgsj8681352497497052518.mp3]| [sound:ankidroid_audioclip__TahlilGaran_TDictionary_dismiss_t_970j0jg357952783553084431452.mp3][sound:ankidroid_audioclip__TahlilGaran_TDictionary_dismiss_t_970j0jg3j2717211852198836006.mp3],,,,,,,,,,,,,,,,,,,,,,,,,,,,
disorder,n.,/ dɪsˈɔːrdər /,a state of confusion.,اختلال، نابهنجاری,anarchy, /ˈanərki/,"""<img src=""""paste-63531156242433.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● The mayor is concerned that a rally could create public <font color=""""#0080bc"""">disorder</font>.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dispensable,adj.,/dɪˈspensəbəl/,"able to be replaced or done without; superfluous, <i>not&nbsp;necessary</i>.",غیر ضروری,unnecessary,"""/ʌnˈnesəseri/<font color=""""darkblue""""> &nbsp; superfluous</font>&nbsp;/suːˈpɜːrfluəs/<br>[sound:superfluous.mp3]""","""<img src=""""paste-60f329301d82d55643c54d7097e7894120b3dd10.jpg"""">""","""● Computers have made typewriters <font color=""""#0080bc"""">dispensable</font>.<br>""",,"""Something that's <font color=""""sienna""""><i>dispensable</i> </font>isn't necessary — you don't really need it. Your vintage typewriter is cool, but it's also <i><font color=""""sienna"""">dispensable</font></i>, since you can type and print with your laptop.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
dispersal,n.,/dɪˈspɜːrsəl/,the process of spreading things over a wide area or in different directions,پراکندگی,distribution,"""/ˌdɪstrəˈbjuːʃən/<font color=""""darkblue""""> &nbsp; spread</font>&nbsp;/spred/<br>[sound:spread_1342704248563.mp3]""","""<img src="""".jpg (1)"""">""","""● the <font color=""""#0080bc"""">dispersal</font> of plant seeds in the forests through natural means.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disperse,v.,/ dɪˈspəːrs /,distribute or spread over a wide area.,پراکنده کردن - متفرق کردن,scatter,"""/ˈskætər/<font color=""""darkblue""""> &nbsp; circulate</font>&nbsp;/ˈsəːrkjʊleɪt/<br>[sound:circulate.mp3]""","""<img src=""""paste-100055558127617.jpg"""">""","""● Police ordered the crowd to <font color=""""#0080bc"""">disperse</font>.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
displace,v.,/dɪsˈpleɪs/,"take over the place, position, or role of (someone or something)",جای چیزی را عوض کردن,move out of position,<font color=darkblue> &nbsp; replace</font><br>[sound:replace.mp3],"""<img src=""""paste-39170101739521.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● The war has <font color=""""#0080bc"""">displaced</font> thousands of people.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disposition,n.,/ˌdɪspəˈzɪʃən/,a particular type of character which makes someone likely to behave or react in a certain way,حالت، وضع، سرشت,temperament,"""/ˈtempərəmənt/<font color=""""darkblue""""> &nbsp; character</font>&nbsp;/ˈkærəktər/<br>[sound:character.mp3]""","""<img src=""""2943a6d8ba534e9e29350b9ccc17ffff.jpg"""">""","""● The film is not suitable for people of a nervous <font color=""""#0080bc"""">disposition</font>.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dispute,n.,/dɪˈspjuːt/,"a disagreement, argument, or debate.",مشاجره ، بحث&nbsp;,argument,"""/ˈɑːrɡjəmənt/<font color=""""darkblue""""> &nbsp; debate</font>&nbsp;/dɪˈbeɪt/<font color=""""darkblue""""> &nbsp; contention</font>&nbsp;/kənˈtenʃən/<br>[sound:debate.mp3][sound:contention.mp3]""","""<img src=""""paste-43731357007873.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● You can <font color=""""#0080bc"""">dispute</font> your bill if you believe it is inaccurate.<br>● The firm is involved in a legal <font color=""""#0080bc"""">dispute</font> with a rival company.<br>● He got into a <font color=""""#0080bc"""">dispute</font> over a taxi fare.<br>""",,"""If kids can't settle their own argument, they may need someone to mediate their <i><font color=sienna>dispute</font></i>, or conflict. You can often tell this is the case if you hear the loud cry, """"Mom!""""""",,,,,,,,,,,,,,,,,,,,,,,,,,,
dissipate,v.,/ˈdɪsɪpeɪt/,"to gradually become less or weaker before disappearing completely, or to make something do this; disperse or scatter.",پخش شدن، تلف کردن,disperse,"""/dɪˈspɜːrs/<font color=""""darkblue""""> &nbsp; scatter</font>&nbsp;/ˈskætər/ <font color=darkblue>&nbsp; diffuse</font><br>[sound:scatter.mp3][sound:diffuse.mp3]""","""<img src=""""paste-f09783d6720fc04c4e9677c62f0326df6d388a00.jpg"""">""","""● one's sympathy is eventually <font color=""""#0080bc"""">dissipated</font>.<br>● As he thought it over, his anger gradually <font color=""""#0080bc"""">dissipated</font>.<br>● Little by little, the smoke was <font color=""""#0080bc"""">dissipated</font> by the breeze.<br>""",,"""<font color=sienna><i>Dissipate</i> </font>means """"disperse"""" or """"fade away"""" — as a bad smell will <font color=sienna><i>dissipate</i> </font>(usually) if you wait long enough.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
dissipated,adj.,/ˈdɪsɪpeɪtɪd/,disperse or scatter.,از هم پاشیده شده، منتشر شده,dispersed, /dɪˈspəːrsd/,"""<img src=""""paste-23441931501569.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● the <font color=""""#0080bc"""">dissipated</font> and drunken son of the wealthiest man in the county.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuade,v.,/dɪˈsweɪd/,persuade (someone) not to take a particular course of action.,منصرف کردن، دلسرد کردن,discourage,/dɪsˈkʌrɪdʒ/ <font color=darkblue>&nbsp; persuade against</font><br>,"""<img src=""""paste-17605070946305.jpg"""">""","""● tried to <font color=""""#0080bc"""">dissuade</font> her from her intention to drop out of college.<br>""",,"""When you <font color=""""sienna""""><i>dissuade</i> </font>someone, you convince that person not to do something: “When Caroline saw Peter's broken leg, she tried to <font color=""""sienna""""><i>dissuade</i> </font>him from going on the ski trip.”""",,,,,,,,,,,,,,,,,,,,,,,,,,,
distant,adj.,/ˈdɪstənt/,far away in space or time.,دور - فاصله دار,far, /fɑːr/,"""<img src=""""paste-15f91a99f3c7f2c2ee78c2dd46dd8617abc27353.jpg"""">""","""● In the <font color=""""#0080bc"""">distant</font> past, dinosaurs roamed the earth.<br>● The day I left home is now a <font color=""""#0080bc"""">distant</font> memory.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinct,adj.,/dɪˈstɪŋkt/,recognizably different in nature from something else of a similar type.,متمایز، واضح,separate,"""/ˈsepərət/<font color=""""darkblue""""> &nbsp; clear&nbsp;</font>/klɪr/ <font color=""""darkblue""""> &nbsp; recognizable&nbsp;</font>/rɛkəɡˈnʌɪzəbl/<font color=""""darkblue""""> &nbsp; definite</font>&nbsp;/ˈdɛfɪnət/<font color=""""darkblue""""> &nbsp; different</font>&nbsp;/ˈdɪfərənt/<br>[sound:clear.mp3][sound:recognizable.mp3][sound:definite.mp3][sound:different.mp3]""","""<img src=""""paste-22664542420993.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● There are three <font color=""""#0080bc"""">distinct</font> categories.<br>● Each herb has its own <font color=""""#0080bc"""">distinct</font> flavor.<br>● The phrase has three <font color=""""#0080bc"""">distinct</font> meanings.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinction,n.,/dɪˈstɪŋkʃən/,<div>a difference or contrast between similar things or people.</div>,فرق - تمیز - تشخیص,difference,"""/ˈdɪfərəns/<font color=""""darkblue""""> &nbsp; excellence</font>&nbsp;/ˈeksələns/<font color=""""darkblue""""> &nbsp; honor</font>&nbsp;/ˈɑːnər/<br>[sound:excellence.mp3][sound:honor.mp3]""","""<img src=""""paste-19778324398081.jpg"""">""","""● There are no obvious <font color=""""#0080bc"""">distinctions</font> between the two designs.<br>● She made a <font color=""""#0080bc"""">distinction</font> between the words “less” and “fewer.”<br>● He was raised in a small town of no great <font color=""""#0080bc"""">distinction</font>.<br>● Her talents gave <font color=""""#0080bc"""">distinction</font> to the work.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinctive,adj.,/dɪˈstɪŋktɪv/,"characteristic of one person or thing, and so serving to distinguish it from others.",مشخصه، متمایز,characteristic,<font color=darkblue> &nbsp; distinguishing</font><br>,"""<img src=""""paste-2d9e37f3aa11d190313285e78191bf3c4d769453.jpg"""">""","""● He had a very <font color=""""#0080bc"""">distinctive</font> walk.<br>● This wine has a more <font color=""""#0080bc"""">distinctive</font> flavor than that one.<br>● The store sells only the most <font color=""""#0080bc"""">distinctive</font> chocolates.<br>● All four show <font color=""""#0080bc"""">distinctive</font> lava channels and other flow features similar to those found on shield volcanoes on Earth.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinctly,adv.,/dɪˈstɪŋktli/,in a way that is readily distinguishable by the senses; clearly.,به طور مجزا - به طور واضح,clearly,/ˈklɪrli/,"""<img src=""""paste-4312f009ada9cea96edbc24ed396674c198fe8af.jpg"""">""","""● He <font color=""""#0080bc"""">distinctly</font> remembered the day his father left.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distinguish,v.,/dɪˈstɪŋɡwɪʃ/,recognize or treat (someone or something) as different; <i>notice from the difference</i>,تمیز دادن - تشخیص دادن,discriminate,"""/dɪˈskrɪməneɪt/<font color=""""darkblue""""> &nbsp; notice from the difference<br></font>[sound:notice from the difference.mp3]""","""<img src=""""paste-20663087661057.jpg"""">""","""● You're old enough to <font color=""""#0080bc"""">distinguish</font> between fact and fantasy.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute,v.,/dɪˈstrɪbjuːt/,give shares of (something); deal out.,توزیع کردن، پخش کردن,spread,"""/spred/ <font color=""""darkblue""""> &nbsp; dispense</font>&nbsp;/dɪˈspɛns/<br>[sound:dispense.mp3]""","""<img src=""""paste-21268678049793.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● <font color=""""#0080bc"""">distribute</font> the assignments according to seniority.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,n.,/ˌdɪstrəˈbjuːʃən/,the action of sharing something out among a number of recipients; geographic range,توزیع، پخش,dispersion,"""/dɪˈspɜːrʒən/<font color=""""darkblue""""> &nbsp; geographic range</font>&nbsp;/dʒiːəˈɡrafɪk-reɪn(d)ʒ/<br>[sound:geographic range.mp3]""","""<img src=""""paste-410b1fa3cf5fcef15aa9e3e19122d6953f7c9eb2.jpg"""">""","""● The group collects food and clothing for <font color=""""#0080bc"""">distribution</font> to needy families.<br>● The cost of packaging and <font color=""""#0080bc"""">distribution</font> ranges from $3 to $4 per videotape.<br>● The conference called for a more equitable <font color=""""#0080bc"""">distribution</font> of wealth and power among nations.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disturb,v.,/dɪˈstəːrb/,interfere with the normal arrangement or functioning of.,مزاحم شدن,upset, /ʌpˈsɛt/,"""<img src=""""paste-1f4db7cb9488613ef91fb506f28dd010b14a48f9.jpg"""">""","""● She doesn't want to be <font color=""""#0080bc"""">disturbed</font> while she's working.<br>● Sorry to <font color=""""#0080bc"""">disturb</font> you, but could I ask a quick question?<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diverse,adj.,/daɪˈvɜːrs/,showing a great deal of variety; very different.,گوناگون - متنوع,distinct,"""/dɪˈstɪŋkt/<font color=""""darkblue""""> &nbsp; different</font>&nbsp;/ˈdɪfərənt/<font color=""""darkblue""""> &nbsp; various</font>&nbsp;/ˈveəriəs/<br>[sound:different.mp3][sound:various.mp3]""","""<img src=""""paste-23094039150593.jpg"""">""","""● His message appealed to a <font color=""""#0080bc"""">diverse</font> audience.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diversification,n.,/dəˌvɜːrsɪfɪˈkeɪʃən/,emergence of many varieties,گوناگونی,variegation,"""<font color=""""darkblue""""> &nbsp; emergence of many varieties<br></font>[sound:emergence of many varieties.mp3]""","""<img src=""""paste-20456929230849.jpg"""">""","""● growers should start planning <font color=""""#0080bc"""">diversification</font> of crops.<br>● This rapid origin and <font color=""""#0080bc"""">diversification</font> of animals is often referred to as """"the Cambrian explosion"""". <br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diversify,v.,/dəˈvɜːrsɪfaɪ/,make or become more diverse or varied.,گوناگون ساختن,vary,/ˈveri/,"""<img src=""""paste-37623913512961.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● farmers forced to <font color=""""#0080bc"""">diversify</font> away from their core business<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diversity,n.,/dʌɪˈvəːrsɪti/,the state of being diverse; variety.,تنوع، گوناگونی,variety,/vəˈrʌɪəti/,"""<img src=""""paste-21659520073729 (1).jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● The island has more <font color=""""#0080bc"""">diversity</font> in plant life than other islands nearby.<br>● The city is known for its cultural <font color=""""#0080bc"""">diversity</font>.<br>● The school aims for <font color=""""#0080bc"""">diversity</font> in its student population.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divert,v.,/daɪˈvɜːrt/,cause (someone or something) to change course or turn from one direction to another.,منحرف کردن,deflect,"""/dɪˈflekt/<font color=""""darkblue""""> &nbsp; shift</font>&nbsp;/ʃɪft/<br>[sound:shift.mp3]""","""<img src=""""paste-21809843929089.jpg"""">""","""● Police <font color=""""#0080bc"""">diverted</font> traffic to a side street.<br>● The stream was <font color=""""#0080bc"""">diverted</font> toward the farmland.<br>● Eventually, the western states <font color=""""#0080bc"""">diverted</font> much of their produce from the rivers to the Erie Canal, a shorter route to eastern markets.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
divest,v.,/dʌɪˈvɛst/,"""- if a company divests, it sells some of its """"assets"""", """"investments"""" etc.<br>- deprive (someone) of power, rights, or possessions.""",محروم کردن، بی‌بهره کردن، عاری و رها کردن,get rid of,""" <font color=""""darkblue""""> &nbsp; deprive</font> <font color=""""darkblue""""> &nbsp; strip &nbsp; exclude</font><br><b>Antonyms:</b> <font color=""""darkblue"""">invest, vest, apparel</font><br>[sound:deprive.mp3][sound:exclude.mp3]""","""<img src=""""paste-a7bd5b1f9f9a0797c03c93fdfb46dfdbfd3e97cd.jpg"""">""","""● The company is <font color=""""#0080bc"""">divesting</font> 8 of its 20 stores.<br>● pressure on hospitals to <font color=""""#0080bc"""">divest</font> tobacco-related stocks<br>● We may have to <font color=""""#0080bc"""">divest</font> assets to raise capital.<br><br>● Dad had long since <font color=""""#0080bc"""">divested himself of</font> anything valuable.<br>● Pedro <font color=""""#0080bc"""">divested himself of</font> his overcoat.<br>● The king was <font color=""""#0080bc"""">divested of</font> all his wealth and power.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
doctrine,n.,/ˈdɑːktrɪn/,"a belief or set of beliefs held and taught by a church, political party, or other group.",تعلیم - اصول - مکتب,principle, /ˈprɪnsəpəl/,"""<img src=""""paste-18154826760193.jpg"""">""","""● The government was founded on a <font color=""""#0080bc"""">doctrine</font> of equality for all people.<br>● Many psychologists now question the <font color=""""#0080bc"""">doctrines</font> of Sigmund Freud.<br>● teaching religious <font color=""""#0080bc"""">doctrine</font> to young people.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
domestic,adj.,/ dəˈmɛstɪk /,of or relating to the running of a home or to family relations<br>relating to or happening in one particular country and not involving any other countries; <b>opposite</b> of <b>foreign</b>,خانگی، بومی، داخلی، اهلی,home,/hoʊm/,"""<img src=""""paste-17403207483393.jpg"""">""","""● The company hopes to attract both foreign and <font color=""""#0080bc"""">domestic</font> investors.<br>● Beginning in the late eighteenth century, agriculture became more and more commercialized, with increasing amounts of produce going to sale to <font color=""""#0080bc"""">domestic</font> and international consumers.<br>""",,"""<i><font color=""""sienna"""">Domestic</font></i>&nbsp;generally means relating to someone's family, home, or home country.&nbsp;<font color=""""sienna""""><i>Domestic</i>&nbsp;</font>work is work done in the home — a&nbsp;<font color=""""sienna""""><i>domestic</i>&nbsp;</font>is someone who works in a home, such as a nanny or a maid.""",,,,,,,,,,,,,,,,,,,,,,,,,,,
dormant,adj.,/ˈdɔːrmənt/,(of an animal) having normal physical functions suspended or slowed down for a period of time; in or as if in a deep sleep.,غیرفعال، خوابیده، بی‌حرکت,inactive,"""/ɪnˈæktɪv/<font color=""""darkblue""""> &nbsp; hibernated</font>&nbsp;/ˈhaɪbəneɪtd/<br>[sound:hibernated.mp3]""","""<img src=""""paste-13885629267969.jpg"""">""","""● The seeds will remain <font color=""""#0080bc"""">dormant</font> until the spring.<br>● Her emotions have lain <font color=""""#0080bc"""">dormant</font> for many years.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dramatically,adv.,/ drəˈmatɪkli /,by a strikingly large amount or to a strikingly large extent; greatly.,به طور چشمگیری,greatly,"""/ˈɡreɪtli/<font color=""""darkblue""""> &nbsp; noticeably</font>&nbsp;/ˈnəʊtɪsəbli/ <font color=""""darkblue""""> &nbsp; strikingly</font>&nbsp;/ˈstraɪkɪŋli/<br>[sound:noticeably.mp3][sound:strikingly.mp3]""","""<img src=""""paste-20048907337729.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● his health has improved <font color=""""#0080bc"""">dramatically</font>.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drastic,adj.,/ˈdrastɪk/,likely to have a strong or far-reaching effect; radical and extreme.<br>extreme and sudden,شدید، جدی، موثر,extreme, /ɪkˈstriːm/,"""<img src=""""paste-15758235009025.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""<font color=red><b>drastic action/measures</b></font><br>● NATO threatened <font color=""""#0080bc"""">drastic action</font> if its terms were not met.<br>● The situation calls for <font color=""""#0080bc"""">drastic measures</font>.<br><br>● <font color=""""#0080bc"""">drastic cuts</font> in government spending<br>● <font color=""""#0080bc"""">Drastic changes</font> are needed if environmental catastrophe is to be avoided.<br>● Maybe we should try something less <font color=""""#0080bc"""">drastic</font> first.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drastically,adv.,/ˈdrastɪkli/,in a way that is likely to have a strong or far-reaching effect.,به شدت، به‌طور قوی، به وضوح,severely,"""/səˈvɪrli/<font color=""""darkblue""""> &nbsp; extensively</font>&nbsp;/ɪkˈstensɪvli/ <font color=""""darkblue""""> &nbsp; obviously</font>&nbsp;/ˈɑːbviəsli/<br>[sound:extensively.mp3][sound:obviously.mp3]""","""<img src=""""paste-3f93af6d5df6829e1c0c32769c520afc4c404c3d.jpg"""">""","""● The size of the army was <font color=""""#0080bc"""">drastically</font> cut.<br><br>● The filling of the Ataturk and other dams in Turkey has <font color=""""#0080bc"""">drastically</font> reduced flows in the Euphrates, with potentially serious consequences for Syria and Iraq.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drive,n.,/drʌɪv/,a planned effort by an organization to achieve something,تحریک,incentive,"""/ɪnˈsɛntɪv/<font color=""""darkblue""""> &nbsp; motivation</font>&nbsp;/ˌməʊtəˈveɪʃən/<br>[sound:motivation.mp3]""","""<img src=""""paste-32259499360257.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● They have decided to sell some parts of the business in a <font color=""""#0080bc"""">drive</font> to raise capital. <br>● Now, in disinhibition, the basic idea is that two <font color=""""#0080bc"""">drives</font> that seem to inhibit, to hold back, a third drive.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,derive,v.,/dɪˈraɪv/,مشتق شدن
dual,adj.,/ˈduːəl/,"consisting of two parts, elements, or aspects.",دوتایی,double,/ˈdʌbəl/,"""<img src=""""paste-17119739641857.jpg"""">""","""● The <font color=""""#0080bc"""">dual</font> purpose of the study.<br>● She pursued <font color=""""#0080bc"""">dual</font> careers in music and acting.""",,,,,,,,,,,,,,,,,,,,,,,,,,duel,n.,/ˈduːəl/,دوئل
duplicate,v. n.,/ˈduːplɪkeɪt/,<b>(v.)</b> make or be an exact copy of.<br><b>(n.)</b> one of two or more identical things.,دو نسخه کردن - تکرار، مثل، مانند,copy,/ˈkɑːpi/ <font color=darkblue>&nbsp; repeat</font> /rɪˈpiːt/<br>[sound:repeat.mp3],"""<img src=""""paste-14684493185025.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● James' run of Finals hasn't been <font color=""""#0080bc"""">duplicated</font> since Bill Russell's Celtics in the 1960s.<br>● a unique scent, impossible to <font color=""""#0080bc"""">duplicate</font> or forget.<br><br><font color=violetred><em>(noun)</em></font> <br>● In case you lose your keys, keep a set of <font color=""""#0080bc"""">duplicates</font> somewhere safe.<br>● doll carriages that are <font color=""""#0080bc"""">duplicates</font> of baby carriages.<br>● books may be disposed of if they are <font color=""""#0080bc"""">duplicates</font>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
durable,adj.,/ˈdʊərəbəl/,"able to withstand wear, pressure, or damage; hard-wearing.",با دوام - ماندنی,lasting,""" <font color=""""darkblue""""> &nbsp; long last</font>&nbsp;<font color=""""darkblue"""">&nbsp; enduring &nbsp; sturdy</font><br>[sound:long last.mp3][sound:enduring.mp3][sound:sturdy_1342704248563.mp3]""","""<img src=""""paste-17166984282113.jpg"""">""","""● Wood is a <font color=""""#0080bc"""">durable</font> material.<br>● His poetry has proved <font color=""""#0080bc"""">durable</font>.<br>● porcelain enamel is strong and <font color=""""#0080bc"""">durable</font>.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
earn,v.,/əːrn/,(of a person) obtain (money) in return for labor or services.,بدست آوردن,acquire, /əˈkwʌɪər/ <font color=darkblue>&nbsp; gain</font><br>[sound:gain.mp3],"""<img src=""""paste-16368120365057.jpg"""" style=""""font-family: &quot;Times New Roman&quot;;"""">""","""● they <font color=""""#0080bc"""">earn</font> $35 per hour.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ease,v.,/iːz/,"make (something unpleasant, painful, or intense) less serious or severe.",سبک کردن - راحت کردن,facilitate,/fəˈsɪlɪteɪt/,"""<img src=""""paste-2dc4189b4f63a13b45b4e9e0d3cf6812a85d81c9.png"""">""","""● trying to <font color=""""#0080bc"""">ease</font> my troubled mind.<br>● The diplomats failed to <font color=""""#0080bc"""">ease</font> tensions between the two nations.<br>● Authorities are looking for ways to <font color=""""#0080bc"""">ease</font> prison overcrowding.<br>● The government is expected to <font color=""""#0080bc"""">ease</font> travel restrictions.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eccentric,adj.,/ɪkˈsentrɪk/,(of a person or their behavior) unconventional and slightly strange.,غیر عادی,strange &nbsp; erratic &nbsp; odd &nbsp; irregular &nbsp; outlandish &nbsp; peculiar &nbsp; unconventional &nbsp; freakish,<br>[sound:strange.mp3][sound:erratic.mp3][sound:outlandish.mp3][sound:peculiar_1342704248563.mp3],"""<img src=""""images (1515).jpg"""">""","""● He was a kind but <font color=""""#0080bc"""">eccentric</font> man.<br>● She's become more <font color=""""#0080bc"""">eccentric</font> over the years.<br>● His eccentric behaviour lost him his job.<br>● Aunt Nessy was always a bit eccentric.<br>● I was regarded as something of an eccentric""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
edible,adj.,/ˈedəbəl/,fit to be eaten (often used to contrast with unpalatable or poisonous examples).,خوردنی,eatable,/ˈiːtəbəl/,"""<img src=""""paste-6416681140225.jpg"""">""","""● a plant with <font color=""""#0080bc"""">edible</font> leaves.<br>● All of the decorations on the gingerbread house were <font color=""""#0080bc"""">edible</font>.<br>● Also they live in open fields where there is lots of <font color=""""#0080bc"""">edible</font> vegetation.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efface,v.,/ɪˈfeɪs/,to destroy or remove something,پاک کردن، محو کردن,eliminate, <font color=darkblue>&nbsp; remove &nbsp; erase</font><br>[sound:remove.mp3][sound:erase.mp3],"""<img src=""""ɪˈlɪməneɪt.jpg"""">""","""● Nothing can <font color=""""#0080bc"""">efface</font> the last picture I have of them from my mind.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elaborate,adj.,/ɪˈlæbərət/,involving many carefully arranged parts or details; detailed and complicated in design and planning.,دارای جزئیات، پیچیده,detailed,"""/dɪˈteɪld/<font color=""""darkblue""""> &nbsp; intricate</font>&nbsp;/ˈintrɪcet/ <font color=""""darkblue""""> &nbsp; dainty</font>&nbsp;/ˈdeɪnti/<font color=""""darkblue""""> &nbsp; develop</font>&nbsp;/dɪˈveləp/<font color=""""darkblue""""> &nbsp; complex</font>&nbsp;/ˈkɒmpleks/<br>[sound:intricate.mp3][sound:dainty.mp3][sound:develop.mp3][sound:complex.mp3]""","""<img src=""""elaborate.jpg"""">""","""● They made <font color=""""#0080bc"""">elaborate</font> preparations for his visit.<br>● I see now that her behavior was all part of an <font color=""""#0080bc"""">elaborate</font> plan.<br>● Later, Milutin Milankovitch <font color=""""#0080bc"""">elaborated</font> the theory with calculations that convincingly argued that the cycles, now known as Milankovitch cycles, could cause climatic variations.<br>""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elapse,adj.,/ɪˈlæpsd/,"if a particular period of time elapses, it passes or goes by (<b>elapsed:</b> passed)",سپری شدن,pass,/pæs/,"""<img src=""""paste-cc76fe5c74c5b603e4018b9b3ac67eac85b89598.jpg"""">""","""● Several months <font color=""""#0080bc"""">elapsed</font> before his case was brought to trial.<br>● The assignment must be completed within an overall <font color=""""#0080bc"""">elapsed time</font> of one week.<br>● weeks <font color=""""#0080bc"""">elapsed</font> before anyone was charged with the attack.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
element,n.,/ˈeləmənt/,"- <b>be in your element</b> to be in a situation that you enjoy, because you are good at it<br>- <b>be out of your element</b> to be in a situation that makes you uncomfortable or unhappy",محیط - عنصر، جزء، رکن، المان,component,"""<font color=""""darkblue""""> &nbsp; environment</font> <font color=""""darkblue""""> &nbsp; constituent</font> <font color=""""darkblue""""> &nbsp; factor</font><br>[sound:environment.mp3] [sound:constituent.mp3][sound:factor.mp3]""","""<img src=""""img6900952849295525440.jpg"""">""","""● Graham <font color=""""#0080bc"""">was in his element</font>, building a fire and cooking the steaks.<br>● She <font color=""""#0080bc"""">was out of her element</font> in this dull little town.<br>● The position that you select is an <font color=""""#0080bc"""">element</font> of your normative political knowledge-your value judgments.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
