Id,Word,Extras,Transcription,Part of Speech,Definition,Example,Example Cloze,Image,Word Audio,Definition Audio,Example Audio,Short Meaning,Long Meaning,Web World,Found
4000EEW_B01_U29_0577,sociable,,[sóuʃəbl],adj.,"When someone is <i>sociable</i>, they are friendly.","Many of my good friends are <b>sociable</b>, but I am shy.","Many of my good friends are {{c1::sociable}}, but I am shy.","""<img src=""""4000EEW_B01_U29_0577.jpg"""" />""",[sound:4000EEW_B01_U29_0577.word.mp3],[sound:4000EEW_B01_U29_0577.definition.mp3],[sound:4000EEW_B01_U29_0577.example.mp3],"When you're sociable, you're willing to talk and be friendly with other people. At a party, it's a good idea to be sociable and make new friends rather than standing off in a corner by yourself.","Sociable comes from the Latin sociabilis meaning ""close, intimate."" When you are sociable with others, you invite them to get close to you by being friendly and pleasant. When a place or group of people is friendly and inviting, it can be described as sociable. Certain small towns are known to be friendly and sociable.",sociable,True
4000EEW_B01_U29_0578,speed,,[spiːd],v.,"When you <i>speed</i>, you go very fast.",<b>Speeding</b> is the cause of most car accidents.,{{c1::Speeding}} is the cause of most car accidents.,"""<img src=""""4000EEW_B01_U29_0578.jpg"""">""",[sound:4000EEW_B01_U29_0578.word.mp3],[sound:4000EEW_B01_U29_0578.definition.mp3],[sound:4000EEW_B01_U29_0578.example.mp3],"Speed most often describes acceleration or a high rate of motion. When something picks up too much speed, it can run off course, like a kid on a bike zooming uncontrollably down a steep hill.","Speed can be a noun or verb. As a noun, it's an indicator of pace, as in the speed of a car. As a noun, it's also a drug that keeps you awake, very awake. As a verb, it means to “move along quickly,” like how you speed around on your bike. A fun fact: while speed refers to the distance traveled by an object during a specific amount of time, velocity describes that distance, but in a specified direction.",speed,True
4000EEW_B01_U29_0579,talkative,,[tɔ́ːkətiv],adj.,"When someone is <i>talkative</i>, he or she talks a lot.",My aunt is very <b>talkative</b> whenever she is on the phone.,My aunt is very {{c1::talkative}} whenever she is on the phone.,"""<img src=""""4000EEW_B01_U29_0579.jpg"""" />""",[sound:4000EEW_B01_U29_0579.word.mp3],[sound:4000EEW_B01_U29_0579.definition.mp3],[sound:4000EEW_B01_U29_0579.example.mp3],A person who is talkative likes to talk — she's friendly and ready to gab at all times about just about anything.,"We all have conversations, but some people enjoy talking more than others: those people are talkative. They find it easy to strike up a conversation, unlike others who may be shy. Being talkative is associated with being friendly. Talkative people can also be described as chatty, garrulous, loquacious, talky, and likely to talk your ear off. If you don’t feel like chatting, you'd better avoid talkative people. The root word of talkative is the Middle English tale, or ""story.""",talkative,True
4000EEW_B01_U29_0580,usual,,[júːʒuəl],adj.,"When something is <i>usual</i>, it is what we expect.",It was just the <b>usual</b> people who came.,It was just the {{c1::usual}} people who came.,"""<img src=""""4000EEW_B01_U29_0580.jpg"""" />""",[sound:4000EEW_B01_U29_0580.word.mp3],[sound:4000EEW_B01_U29_0580.definition.mp3],[sound:4000EEW_B01_U29_0580.example.mp3],,,usual,True
4000EEW_B01_U30_0581,above,,[əbʌ́v],prep.,"If something is <i>above</i>, it is at a higher level than something else.",He straightened the sign that was <b>above</b> the crowd.,He straightened the sign that was {{c1::above}} the crowd.,"""<img src=""""4000EEW_B01_U30_0581.jpg"""" />""",[sound:4000EEW_B01_U30_0581.word.mp3],[sound:4000EEW_B01_U30_0581.definition.mp3],[sound:4000EEW_B01_U30_0581.example.mp3],"Above means higher than or overhead. On the fourth of July, many Americans like to sit on the ground and watch fireworks above them in the sky.","The adverb above is good for describing something that happens over your head or something that's up beyond something else. The full moon shines up above you in the night sky, and when your little brother scampers up the monkey bars, he is also above you. The root of above is the Old English word abufan, which combines a, ""on,"" and bufan, or ""over.""",above,True
4000EEW_B01_U30_0582,ahead,,[əhéd],adv.,"If something is <i>ahead</i> of something else, it is in front of it.",The blue car drove on <b>ahead</b> of us.,The blue car drove on {{c1::ahead}} of us.,"""<img src=""""4000EEW_B01_U30_0582.jpg"""" />""",[sound:4000EEW_B01_U30_0582.word.mp3],[sound:4000EEW_B01_U30_0582.definition.mp3],[sound:4000EEW_B01_U30_0582.example.mp3],"When you're ahead, you're further along or further forward. If you're ahead of all the other runners in a race, you're winning.","The team at the very front of a three-legged race is ahead, and the path that stretches in front of you as you walk through the woods is ahead of you. As well as signifying being physically first or in front, ahead can be used to talk about time: ""She had her whole life ahead of her."" The word was first used by sailors, to mean ""in a forward direction.""",ahead,True
4000EEW_B01_U30_0583,amount,,[əmáunt],n.,An <i>amount</i> is how much there is of something.,Can I use my card to pay for the entire <b>amount</b>?,Can I use my card to pay for the entire {{c1::amount}}?,"""<img src=""""4000EEW_B01_U30_0583.jpg"""" />""",[sound:4000EEW_B01_U30_0583.word.mp3],[sound:4000EEW_B01_U30_0583.definition.mp3],[sound:4000EEW_B01_U30_0583.example.mp3],"An amount is a number, or quantity, of something. If you're surprised by the amount of work you have to do at your new job, you probably didn't expect such a long list of tasks.","You might complain about the amount of time it takes for the shoes you bought to arrive: amount here means the number of days before you can wear them. Amount is also a verb, meaning ""add up to,"" like when you hope the tips you earn will amount to more than minimum wage. This meaning came before the noun amount, from the now obsolete definition, ""to mount a horse,"" from the Old French amonter, ""upward.""",amount,True
4000EEW_B01_U30_0584,belief,,[bilíːf],n.,A <i>belief</i> is a strong feeling that something is correct or true.,A preacher or priest should have a strong <b>belief</b> in God.,A preacher or priest should have a strong {{c1::belief}} in God.,"""<img src=""""4000EEW_B01_U30_0584.jpg"""" />""",[sound:4000EEW_B01_U30_0584.word.mp3],[sound:4000EEW_B01_U30_0584.definition.mp3],[sound:4000EEW_B01_U30_0584.example.mp3],A belief is an idea one accepts as being true or real.  Many children have a strong belief that the Tooth Fairy really does exist.,"The noun belief replaced the Old English word geleafa, meaning “belief, faith,” in the late 12th century. A belief is an idea one usually holds with conviction and importance. In a religious context, the Ancient Greeks held the belief that many gods existed, controlling their fate, while Christianity began with the belief that only one God exists. You can also have belief in yourself in the face of a challenge.",belief,True
4000EEW_B01_U30_0585,center,,[séntər],n.,The <i>center</i> of something is the middle of it.,The <b>center</b> of a dart board is the most important spot.,The {{c1::center}} of a dart board is the most important spot.,"""<img src=""""4000EEW_B01_U30_0585.jpg"""" />""",[sound:4000EEW_B01_U30_0585.word.mp3],[sound:4000EEW_B01_U30_0585.definition.mp3],[sound:4000EEW_B01_U30_0585.example.mp3],"Whether you are the center of attention or hanging out at the recreation center, you are in the middle of it all.","You might think of a circle when you think of a center, but a center is also a building or group of buildings. One five-sided place, the Pentagon in the U.S., is actually a center of government activity. A recreation center is a place where a lot of recreation happens, just as a medical center is where a lot of doctors and nurses give medical treatment. These centers are buildings or complexes where a certain kind of activity takes place, and a word before center often tells you what the activity is. As a verb, you can center your attention on something or center a centerpiece in the middle of a table.",center,True
4000EEW_B01_U30_0586,common,,[kɑ́mən],adj.,"If something is <i>common</i>, it happens often or there is much of it.",It is <b>common</b> for snow to fall in the winter.,It is {{c1::common}} for snow to fall in the winter.,"""<img src=""""4000EEW_B01_U30_0586.jpg"""" />""",[sound:4000EEW_B01_U30_0586.word.mp3],[sound:4000EEW_B01_U30_0586.definition.mp3],[sound:4000EEW_B01_U30_0586.example.mp3],"When something's common, it's usual, or it happens frequently. It's more common than you might think for little kids to be terrified of clowns.","Things that are common happen all the time — they're ordinary. It's common for people to put ketchup on their French fries, and a pigeon is an extremely common type of bird to see in a city. Common can also refer to something that's shared by a group, like a region's common culture. In fact, a green space in the center of a town is sometimes called a common, maybe because it's shared by everyone in the town.",common,True
4000EEW_B01_U30_0587,cost,,[kɔːst],v.,To <i>cost</i> is to require payment.,These designer shoes <b>cost</b> more than the regular ones.,These designer shoes {{c1::cost}} more than the regular ones.,"""<img src=""""4000EEW_B01_U30_0587.jpg"""" />""",[sound:4000EEW_B01_U30_0587.word.mp3],[sound:4000EEW_B01_U30_0587.definition.mp3],[sound:4000EEW_B01_U30_0587.example.mp3],The cost of something is how much money you need to spend on it. The high cost of a fancy coffee drink might surprise you.,"A new car costs thousands of dollars, while in some places penny candy still only costs a penny per piece. Cost also means ""cause a loss,"" as when a bad fumble costs your favorite football team the game, or your brother's cheating on a test costs him the respect of his favorite teacher. The Old French cost meant ""outlay, expenditure, hardship, or trouble,"" from the Latin root constare, ""to stand at or to cost.""",cost,True
4000EEW_B01_U30_0588,demonstrate,,[démənstrèit],v.,To <i>demonstrate</i> something is to show how it is done.,She <b>demonstrated</b> her plan to her co-workers.,She {{c1::demonstrated}} her plan to her co-workers.,"""<img src=""""4000EEW_B01_U30_0588.jpg"""" />""",[sound:4000EEW_B01_U30_0588.word.mp3],[sound:4000EEW_B01_U30_0588.definition.mp3],[sound:4000EEW_B01_U30_0588.example.mp3],"When you demonstrate something, you show what it is or how it works. To demonstrate how your new juicer works, you should have lots of kale, carrots, and beets on hand — and some brave friends to try your concoction.","Demonstrate comes from the Latin word demonstrare, meaning “to point out by argument or deduction.” To demonstrate a point you must make a valid argument and give examples of why you think it's true. Demonstrate can also refer to a public protest. You can demonstrate with your comrades by marching through the streets with homemade protest signs.",demonstrate,True
4000EEW_B01_U30_0589,different,,[dífərənt],adj.,<i>Different</i> describes someone or something that is not the same as others.,Each of my sisters has a <b>different</b> hair style.,Each of my sisters has a {{c1::different}} hair style.,"""<img src=""""4000EEW_B01_U30_0589.jpg"""" />""",[sound:4000EEW_B01_U30_0589.word.mp3],[sound:4000EEW_B01_U30_0589.definition.mp3],[sound:4000EEW_B01_U30_0589.example.mp3],"Something is different whether it is only a little or completely unlike something else. Not only are your two cats different breeds, but they are also different from your pet tiger.","Often followed by the word than or from, different describes something that contrasts with, or differs from, something else. With roots in the Latin differre, meaning “to set apart,” different can also describe something that belongs in a whole other category. More recently, the word has picked up an additional sense — for something that is special or unique, in an extraordinary or sometimes negative way. That tie your dad has with the different kinds of peppers on it is definitely... different.",different,True
4000EEW_B01_U30_0590,evidence,,[évidəns],n.,<i>Evidence</i> is a fact or thing that you use to prove something.,He used the pictures as <b>evidence</b> that UFOs are real.,He used the pictures as {{c1::evidence}} that UFOs are real.,"""<img src=""""4000EEW_B01_U30_0590.jpg"""" />""",[sound:4000EEW_B01_U30_0590.word.mp3],[sound:4000EEW_B01_U30_0590.definition.mp3],[sound:4000EEW_B01_U30_0590.example.mp3],"Evidence is anything that can be used to prove something — like the evidence presented in a trial, or the trail of bread crumbs that is evidence of the path Hansel took through the woods.","The word evidence is derived from the Latin ēvidēnt-, meaning ""obvious."" The word evidence shows up frequently in legal documents and dramas, because evidence is necessary proof in linking someone to a crime or crime scene. Evidence is used in many ways to show that something is true, as in ""the chocolate stains around your mouth and the crumbs on the table are evidence that you ate the last of the brownies.""",evidence,True
4000EEW_B01_U30_0591,honesty,,[ɑ́nisti],n.,<i>Honesty</i> means the quality of being truthful or honest.,A courtroom should be a place of <b>honesty</b>.,A courtroom should be a place of {{c1::honesty}}.,"""<img src=""""4000EEW_B01_U30_0591.jpg"""" />""",[sound:4000EEW_B01_U30_0591.word.mp3],[sound:4000EEW_B01_U30_0591.definition.mp3],[sound:4000EEW_B01_U30_0591.example.mp3],"If you tell the truth, you possess the quality of honesty.  If someone offers a harsh criticism of your latest attempt at songwriting, you might say, ""Thank you for your honesty.""  Even if you don't mean it.","The original meaning of honesty had more to do with honor than truthfulness, although the two are naturally linked.  The trait of honesty has been prized for centuries, and Shakespeare once wrote, ""Honesty is the best policy. If I lose mine honor, I lose myself.""  The honesty flower, sometimes called the money plant, is so named because its coin-shaped seedpods are translucent, the idea of transparency symbolizing integrity.",honesty,True
4000EEW_B01_U30_0592,idiom,,[ídiəm],n.,An <i>idiom</i> is a phrase with a meaning different from its words.,The <b>idiom</b> “when pigs fly” means that something will never happen.,The {{c1::idiom}} “when pigs fly” means that something will never happen.,"""<img src=""""4000EEW_B01_U30_0592.jpg"""" />""",[sound:4000EEW_B01_U30_0592.word.mp3],[sound:4000EEW_B01_U30_0592.definition.mp3],[sound:4000EEW_B01_U30_0592.example.mp3],"An idiom is a form of expression that is particular to a certain person or group of people. If your friend always says, ""squirrelly nuteriffic!"" when she means something is great, she's using her own idiom.","Idiom comes from the Greek idios, which means personal. Idiom originally meant ""speech peculiar or proper to a people or country."" These days we use idiom for a specialized vocabulary or an expression that isn't obvious, like kick the bucket which means ""die."" If you're studying a foreign language, idioms are the hardest phrases to translate.",idiom,True
4000EEW_B01_U30_0593,independent,,[ìndipéndənt],adj.,"If something is <i>independent</i>, it is not controlled by something else.",She chose to live an <b>independent</b> life in the country.,She chose to live an {{c1::independent}} life in the country.,"""<img src=""""4000EEW_B01_U30_0593.jpg"""" />""",[sound:4000EEW_B01_U30_0593.word.mp3],[sound:4000EEW_B01_U30_0593.definition.mp3],[sound:4000EEW_B01_U30_0593.example.mp3],"If your brother says you broke his guitar and you say you weren't anywhere near it, your parents may ask your sister for an independent opinion, as she has no reason to lie. An independent person is free from the control or influence of other people.","The root word, depend, originally meant ""to hang down."" We use the word hang in a similar way. If the decision to build a new stadium hangs on funding, the decision won't be made till the money comes in. To be independent means that you don't depend on your parents to pay your bills. Or, for a three year old, it may mean going to the bathroom ""all by yourself."" It's all relative.",independent,True
4000EEW_B01_U30_0594,inside,,[ínsáid],n.,"<i>Inside</i> means the inner part, space or side of something.",The <b>inside</b> of the box was empty.,The {{c1::inside}} of the box was empty.,"""<img src=""""4000EEW_B01_U30_0594.jpg"""" />""",[sound:4000EEW_B01_U30_0594.word.mp3],[sound:4000EEW_B01_U30_0594.definition.mp3],[sound:4000EEW_B01_U30_0594.example.mp3],"Something that's inside is located near the center or in the interior of a space. The inside of a perfectly baked potato should be fluffy, buttery, warm, and delicious.","You can scrape inside a jar with a knife to get the last of the jam, or stay inside the house all day when it's very hot outside. Inside can serve as an adjective, noun, or adverb, depending how you use it, but it always refers to the inner, most privileged, or deepest part of something. Colloquially, your insides are your digestive system or stomach, and when someone's inside after stealing a car, they're in prison.",inside,True
4000EEW_B01_U30_0595,jail,,[dʒeil],n.,A <i>jail</i> is a place to keep bad people.,He was sent to <b>jail</b> for taking other people’s cars.,He was sent to {{c1::jail}} for taking other people’s cars.,"""<img src=""""4000EEW_B01_U30_0595.jpg"""" />""",[sound:4000EEW_B01_U30_0595.word.mp3],[sound:4000EEW_B01_U30_0595.definition.mp3],[sound:4000EEW_B01_U30_0595.example.mp3],"A jail is a place where people are confined while they're being punished for a crime. If you end up getting a mug shot and put behind bars, chances are you are In jail.","To arrest someone and put them in a jail cell is to jail them. Jail prisoners are often simply waiting for their trials — they've been charged with a crime, but they haven't yet been found to be guilty (or innocent). Jail was originally spelled gayhol, and in Britain it's also spelled gaol. This can be traced back to the Medieval Latin gabiola, from Late Latin caveola and the Latin cavea, ""cage or enclosure.""",jail,True
4000EEW_B01_U30_0596,master,,[mǽstəːr],n.,A <i>master</i> is a person who is very good at something.,My brother is a <b>master</b> of taekwondo.,My brother is a {{c1::master}} of taekwondo.,"""<img src=""""4000EEW_B01_U30_0596.jpg"""" />""",[sound:4000EEW_B01_U30_0596.word.mp3],[sound:4000EEW_B01_U30_0596.definition.mp3],[sound:4000EEW_B01_U30_0596.example.mp3],"The original of something (like a recording) is the master. Masters are also experts in fields, from karate to painting.","Master actors are brilliant actors: they've mastered the skill of acting: maybe they have a Master of Fine Arts degree. It takes a long time to master anything. The master is the head of a school. People with servants, pets, and (during a horrible period in our history) slaves were called masters. A master key opens many doors, and when you master something, you are extremely good at it. An A+ on a test shows you mastered the material.",master,True
4000EEW_B01_U30_0597,memory,,[méməri],n.,A <i>memory</i> is something you remember.,The <b>memory</b> of my first time in the city will always be the best.,The {{c1::memory}} of my first time in the city will always be the best.,"""<img src=""""4000EEW_B01_U30_0597.jpg"""" />""",[sound:4000EEW_B01_U30_0597.word.mp3],[sound:4000EEW_B01_U30_0597.definition.mp3],[sound:4000EEW_B01_U30_0597.example.mp3],Memory is the power to retain and recall information and past experiences. Your brain's memory helps you recall lots of memories — like multiplication tables and bad dates.,"The word memory applies to both the individual facts and experiences you remember as well as the brain's ability to contain it all.  A good memory for names means you retain someone's name. But a good memory of your summer job means that you had fun while working at the Jiffy Lube. Memory has also come to refer to a computer's capacity to store information.  As far as we know, however, computers do not have fond memories of their past programs.",memory,True
4000EEW_B01_U30_0598,pocket,,[pάkit],n.,A <i>pocket</i> is a part of your clothing where you can keep things.,She always had her hands in her <b>pockets</b>.,She always had her hands in her {{c1::pockets}}.,"""<img src=""""4000EEW_B01_U30_0598.jpg"""" />""",[sound:4000EEW_B01_U30_0598.word.mp3],[sound:4000EEW_B01_U30_0598.definition.mp3],[sound:4000EEW_B01_U30_0598.example.mp3],"A pocket is a kind of pouch that's sewn into your clothes. If you are worried about your ink pen leaking in your shirt pocket, then you might spring for a pocket protector. Nice look!","You can keep things like your keys in a pocket, or you can use your pockets to keep your hands warm. Jackets and jeans have pockets, and so do kangaroos and pool tables. In the case of kangaroos, it's a handy pouch in a mother's belly where she can keep a baby kangaroo warm and comfortable. And when you shoot pool, you aim for the pockets. As a verb, pocket can literally mean ""put into your pocket,"" or more figuratively, ""steal money."" To be ""in someone's pocket"" is to be under their control or influence.",pocket,True
4000EEW_B01_U30_0599,proper,,[prɑ́pər],adj.,"If something is <i>proper</i>, it is right.",It is not <b>proper</b> to throw your garbage on the road.,It is not {{c1::proper}} to throw your garbage on the road.,"""<img src=""""4000EEW_B01_U30_0599.jpg"""" />""",[sound:4000EEW_B01_U30_0599.word.mp3],[sound:4000EEW_B01_U30_0599.definition.mp3],[sound:4000EEW_B01_U30_0599.example.mp3],"Something proper is correct or right. There's a proper fork to use for salad, and a proper way to dress for a wedding.","Things that are proper fit the situation — they're the right thing to do, because of custom or manners. A swear word is the opposite of proper language. Wearing a hat indoors isn't proper, as your grandparents have probably reminded you. Getting proper medical care means you've received the appropriate medical care. When things are proper, they're correct and suitable: they fit.",proper,True
4000EEW_B01_U30_0600,sale,,[seil],n.,"If something is for <i>sale</i>, you can buy it.",Everything for <b>sale</b> here is the same price.,Everything for {{c1::sale}} here is the same price.,"""<img src=""""4000EEW_B01_U30_0600.jpg"""" />""",[sound:4000EEW_B01_U30_0600.word.mp3],[sound:4000EEW_B01_U30_0600.definition.mp3],[sound:4000EEW_B01_U30_0600.example.mp3],A sale is what occurs whenever an object or service is given in return for a payment of money. The sale of your old bike will happen more quickly if you price it at $50 instead of $500.,"You can talk about the sale of your next door neighbor's house, and you can also describe the house as ""for sale,"" or available to be purchased. When a store has a sale, it means goods temporarily cost less than usual — you can also say that things at that store are ""on sale."" The word sale comes from the Old English sala, from a Germanic root.",sale,True
4000EEW_B02_U01_0601,because,,[bikɔ́ːz],conj.,<i>Because</i> introduces a reason for something.,We need to study <b>because</b> we have a test tomorrow.,We need to study {{c1::because}} we have a test tomorrow.,"""<img src=""""4000EEW_B02_U01_0601.jpg"""" />""",[sound:4000EEW_B02_U01_0601.word.mp3],[sound:4000EEW_B02_U01_0601.definition.mp3],[sound:4000EEW_B02_U01_0601.example.mp3],,,,False
4000EEW_B02_U01_0602,east,,[iːst],n.,<i>East</i> is the direction the sun rises from.,"My window looks to the <b>east</b>, so I can watch the sunrise every morning.","My window looks to the {{c1::east}}, so I can watch the sunrise every morning.","""<img src=""""4000EEW_B02_U01_0602.jpg"""" />""",[sound:4000EEW_B02_U01_0602.word.mp3],[sound:4000EEW_B02_U01_0602.definition.mp3],[sound:4000EEW_B02_U01_0602.example.mp3],,,east,True
4000EEW_B02_U01_0603,expensive,,[ikspénsiv],adj.,<i>Expensive</i> things cost a lot of money.,My friend drives an <b>expensive</b> sports car.,My friend drives an {{c1::expensive}} sports car.,"""<img src=""""4000EEW_B02_U01_0603.jpg"""" />""",[sound:4000EEW_B02_U01_0603.word.mp3],[sound:4000EEW_B02_U01_0603.definition.mp3],[sound:4000EEW_B02_U01_0603.example.mp3],"The adjective expensive means high in price, like the expensive basketball sneakers you had to work all summer to save up enough money to buy.","Expensive comes from the 1620s, when it meant ""given to profuse expenditure."" Back then, it was the people doing the buying who got called ""expensive."" Now it's the costly things they buy or take part in. For example, sailing is an expensive hobby. If someone tells you, ""I have expensive taste,"" it means that person likes things that cost a lot of money, whether they are purchased or just admired from the shop window.",expensive,True
4000EEW_B02_U01_0604,flower,,[fáuər],n.,A <i>flower</i> is the colored part of a plant.,She gave pink <b>flowers</b> to her grandmother.,She gave pink {{c1::flowers}} to her grandmother.,"""<img src=""""4000EEW_B02_U01_0604.jpg"""" />""",[sound:4000EEW_B02_U01_0604.word.mp3],[sound:4000EEW_B02_U01_0604.definition.mp3],[sound:4000EEW_B02_U01_0604.example.mp3],"If someone tells you they think you'll flower when you go to college, they don't mean they think you'll grow blossoms on your head, but that you'll really come into your own and find your potential.","A flower is a fragile blossom that has petals and grows at the top of the stem of a plant. Flowers attract bees, who help out with the pollination process so more plants can grow. Roses, daisies, and carnations are all types of flowers. Flower is also a verb meaning to bring forth flowers. And if something besides a plant — a business, a person, a community — has a period of extra productivity or prosperity, we say it is flowering.",flower,True
4000EEW_B02_U01_0605,garden,,[gάːrdn],n.,A <i>garden</i> is an area where people grow plants.,The <b>garden</b> is very bright and colorful in the spring.,The {{c1::garden}} is very bright and colorful in the spring.,"""<img src=""""4000EEW_B02_U01_0605.jpg"""" />""",[sound:4000EEW_B02_U01_0605.word.mp3],[sound:4000EEW_B02_U01_0605.definition.mp3],[sound:4000EEW_B02_U01_0605.example.mp3],"A garden is a piece of land that's used to grow flowers, vegetables, or other plants. Your grandmother might be so proud of her rose garden that she gives every visitor a tour of it.","A vegetable garden is often planted in straight rows, sometimes within a raised bed. Flower gardens can take all sorts of shapes, from tidy to meandering. When you work in your garden, pulling weeds or planting seedlings, you garden. In the UK, a garden is what's called a yard in the US — any bit of land just outside of a house. The phrase ""garden variety"" means ""ordinary:"" ""Oh he's just a garden variety mixed-breed dog, nothing fancy.""",garden,True
4000EEW_B02_U01_0606,holiday,,[hάlədèi],n.,A <i>holiday</i> is a special day of celebration.,"Monday was a <b>holiday</b>, so there was no school or work.","Monday was a {{c1::holiday}}, so there was no school or work.","""<img src=""""4000EEW_B02_U01_0606.jpg"""" />""",[sound:4000EEW_B02_U01_0606.word.mp3],[sound:4000EEW_B02_U01_0606.definition.mp3],[sound:4000EEW_B02_U01_0606.example.mp3],"A holiday celebrates a person, anniversary, religious belief or other occasion. You might observe the Indian holiday of Holi, and take a week off of work to celebrate with your family.","A holiday is an occasion recognized by the state or federal government and marked on calendars, like Thanksgiving in the United States. Most holidays are celebratory and fun, and just about all of them mean no work or school.  You can also take a holiday, or vacation. Holiday comes from ""holy"" and ""day,"" meaning a religious festival, and the word was even pronounced that way until the sixteenth century.",holiday,True
4000EEW_B02_U01_0607,many,,[méni],adj.,<i>Many</i> shows that there is a large number of something.,There are <b>many</b> people on the street.,There are {{c1::many}} people on the street.,"""<img src=""""4000EEW_B02_U01_0607.jpg"""" />""",[sound:4000EEW_B02_U01_0607.word.mp3],[sound:4000EEW_B02_U01_0607.definition.mp3],[sound:4000EEW_B02_U01_0607.example.mp3],"If you have a great number of refrigerator magnets, you have many of them. Many means ""a lot of items.""","Many can be traced back to the Welsh word mynych meaning ""frequent."" To get many of something, you do something frequently, or often, like having many miles on a car because you often drive it long distances. If you ask, ""How many people will be at the party?"" you want to know the number of guests who are expected. If the answer is ""many,"" you know there will be numerous people, though you haven't been given an exact figure.",many,True
4000EEW_B02_U01_0608,million,,[míljən],n.,"A <i>million</i> is another way to write the number 1,000,000.","Almost 19 <b>million</b> people live in Delhi, India.","Almost 19 {{c1::million}} people live in Delhi, India.","""<img src=""""4000EEW_B02_U01_0608.jpg"""" />""",[sound:4000EEW_B02_U01_0608.word.mp3],[sound:4000EEW_B02_U01_0608.definition.mp3],[sound:4000EEW_B02_U01_0608.example.mp3],"A million is 1,000,000. It's a large number made of a thousand thousands. If you have a million dollars, you’re a millionaire!","The word million comes from the Italian milione, which literally means ""a great thousand.” It’s great to have a thousand, but it’s awesome to have a million! A million is a big number but not so big that you don't see it used frequently. In fact, being a millionaire isn’t even a big deal anymore. An online video might be watched by a million viewers, and there are millions of people in big cities like New York City and Chicago.",million,True
4000EEW_B02_U01_0609,mountain,,[máuntən],n.,A <i>mountain</i> is a very high hill.,Mount Everest is the highest <b>mountain</b> in the world.,Mount Everest is the highest {{c1::mountain}} in the world.,"""<img src=""""4000EEW_B02_U01_0609.jpg"""" />""",[sound:4000EEW_B02_U01_0609.word.mp3],[sound:4000EEW_B02_U01_0609.definition.mp3],[sound:4000EEW_B02_U01_0609.example.mp3],A mountain is a large and often steep landmass that's much higher than the surrounding area. It's not to be confused with a molehill.,"The word mountain has been around since the 1200s. A mountain is much larger than an average hill; it's a mass of land that rises up to 2000 feet or so. Mountain does not always describe a land mass. It can also be used to refer to an undertaking, a pile of something, or even a large dose of trouble. You might have a mountain of mashed potatoes you don't want to eat, or a mountain of homework.",mountain,True
4000EEW_B02_U01_0610,place,,[pleis],n.,A <i>place</i> is a space or area.,A library is a <b>place</b> where people can read books.,A library is a {{c1::place}} where people can read books.,"""<img src=""""4000EEW_B02_U01_0610.jpg"""" />""",[sound:4000EEW_B02_U01_0610.word.mp3],[sound:4000EEW_B02_U01_0610.definition.mp3],[sound:4000EEW_B02_U01_0610.example.mp3],"A place is a position, an area, a spot, or a space. Texas is a place in the United States, and your seat at dinner is your place at the table.","In the old saying ""A woman's place is in the home,"" place means both an ""appropriate location"" as well as ""proper social situation."" Thankfully, Bella Abzug updated that notion by saying ""A woman's place is in the House... the House of Representatives."" Place can also be a verb: you can place, or set down, books on a table. If you can't place the person to whom you've just been introduced, you are having trouble identifying that person.",place,True
4000EEW_B02_U01_0611,popular,,[pάpjulər],adj.,A <i>popular</i> thing is liked by many people.,These people are listening to a <b>popular</b> man speak.,These people are listening to a {{c1::popular}} man speak.,"""<img src=""""4000EEW_B02_U01_0611.jpg"""" />""",[sound:4000EEW_B02_U01_0611.word.mp3],[sound:4000EEW_B02_U01_0611.definition.mp3],[sound:4000EEW_B02_U01_0611.example.mp3],"The adjective popular describes something that is well-liked or admired by a lot of people. Sometimes when you read a bestselling novel, you wonder why it's so popular.","Popular comes from the Latin word populus, which means people. Anything that is popular is liked by many people. When you're talking about popular music or art, you may sometimes shorten the word popular to ""pop,"" as in pop music or pop culture. Popular also describes things by or for the people, or the general population, such as the popular vote or a popular revolt.",popular,True
4000EEW_B02_U01_0612,ski,,[skiː],v.,To <i>ski</i> is to glide on long pieces of wood or metal over snow.,The man likes to <b>ski</b> and goes every weekend.,The man likes to {{c1::ski}} and goes every weekend.,"""<img src=""""4000EEW_B02_U01_0612.jpg"""" />""",[sound:4000EEW_B02_U01_0612.word.mp3],[sound:4000EEW_B02_U01_0612.definition.mp3],[sound:4000EEW_B02_U01_0612.example.mp3],"Skis are sporting equipment—long, thin pieces of wood, plastic, or metal that you strap to your feet so you can glide across the snow or down a snowy hill.","To slide down a mountain on skis is to ski. You can also cross country ski, or move across flat, snowy ground and gentle hills on skis. The special boots that skiers wear are called ski boots, and you also need a ski helmet and ski goggles when you go skiing. In its earliest English use, the word was spelled skee, and it's rooted in the Old Norse skið, ""long snowshoe.""",ski,True
4000EEW_B02_U01_0613,such,,[sʌtʃ],adj.,<i>Such</i> means “like this”.,I have never seen <b>such</b> a beautiful sunset before.,I have never seen {{c1::such}} a beautiful sunset before.,"""<img src=""""4000EEW_B02_U01_0613.jpg"""" />""",[sound:4000EEW_B02_U01_0613.word.mp3],[sound:4000EEW_B02_U01_0613.definition.mp3],[sound:4000EEW_B02_U01_0613.example.mp3],,,such,True
