"Word","Soundmark","Explanation0","Example0","Equivalence0","Derivative0","Opposite0","Explanation1","Example1","Equivalence1","Derivative1","Opposite1","Explanation2","Example2","Equivalence2","Derivative2","Opposite2","Explanation3","Example3","Equivalence3","Derivative3","Opposite3","Category","Image","Audio","tags","deck"
"one-of-a-kind","[wʌnˈəvəˈkaɪnd]","【释】n. 独一无二 a person or thing that is not like any other person or thing","【例】The Parthenon marbles are one-of-a-kind in Classical art that are the pride of the British Museum.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-62b47bdb-090d41f3-4b70da32-6a8183a1-1ff28de4.mp3]",,"GRE::新东方GRE佛脚词改"
"apropos","[ˌæprəˈpoʊ]","【释】adj. 合适的 being both relevant and opportune","【例】It was apropos that it was Shark Week on television at the same time that we were studying the creature in our biology course.",,,,"【释】prep. 至于… with regard to","【例】Because nothing that Vinnie said was apropos to the conversation, we treated him like an annoyance and ignored him.",,,,,,,,,,,,,,,,"[sound:youdao-4185aedd-d6d130d3-78f3641a-cb57a930-5ea30624.mp3]",,"GRE::新东方GRE佛脚词改"
"ingratiate","[ɪnˈɡreɪʃieɪt]","【释】v. 讨好 to gain favor or approval for (yourself) by doing or saying things that people like","【例】The expert saleswoman knew how to ingratiate the buyers and convince them of buying products they did not truly need.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-50985f07-87ba7ddf-62414a84-4a3e9f82-c74a0f14.mp3]",,"GRE::新东方GRE佛脚词改"
"concoct","[kənˈkɑːkt]","【释】v. 编造，捏造 to invent or develop (a plan, story, etc.) often in order to trick or deceive someone","【例】The CEO concocts these extreme ideas to business partners without a single clue of the actual practicalities involved in executing them.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-e6e05ccf-f13c18b8-1ecaf204-56ba44f6-25ae84b7.mp3]",,"GRE::新东方GRE佛脚词改"
"disgorge","[dɪsˈɡɔːrdʒ]","【释】v. 吐 to empty whatever is in the stomach through the mouth","【例】By disgorging partially digested food into the chick's mouth, the mother sparrow ensures the survival of her brood for another day.",,,,"【释】v. 喷吐，吐露 to discharge the contents of","【例】In a video recording of the most recent eruption, Mount St. Helens was seen disgorging lava and ash high into the sky for a prolonged period of time.",,,,,,,,,,,,,,,,"[sound:youdao-a1ba47d4-b21b4d85-34228f8d-80ce2854-af0570d3.mp3]",,"GRE::新东方GRE佛脚词改"
"baseless","[ˈbeɪsləs]","【释】adj. 毫无根据的 groundless or unwarranted","【例】She responded to the new lawsuit by debunking it a total fiction and a baseless attack on her prestige.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-1beb1ba5-dc61e0c1-23151dd2-62f02c49-e0d8881e.mp3]",,"GRE::新东方GRE佛脚词改"
"momentary","[ˈmoʊmənteri]","【释】adj. 短暂的 lasting a very short time","【例】Luanne's sense of victory upon completing the essay assignment was only momentary because she had to start on the second one immediately.","【选】evanescent, fleeting",,,,,,,,,,,,,,,,,,,,"[sound:youdao-fbc0b8e4-8c198c4b-a6a0777e-f260ed83-c0ba6c37.mp3]",,"GRE::新东方GRE佛脚词改"
"acute","[əˈkjuːt]","【释】adj. 严重的，关键的 of critical importance or consequence","【例】Greece defaulted on many of its loans when the economic crisis was at its most acute.",,,,"【释】adj. 敏锐的 keenly perceptive or discerning; penetrating","【例】Psychics cannot tell the future, but they have an acute intuition about what their clients are thinking and feeling.","【选】incisive","【派】acuity（n. 敏锐）",,"【释】adj. 剧烈的，强烈的 extremely sharp or severe; intense","【例】Jack experienced a sudden, acute pain when the tennis ball hit him hard on his forehead.","【选】severe",,,,,,,,,,"[sound:youdao-944ad7ed-63eee3bd-876edf8f-b67d0ddb-9fc11a2c.mp3]",,"GRE::新东方GRE佛脚词改"
"debilitate","[dɪˈbɪlɪteɪt]","【释】v. 使…衰弱，使…虚弱 to impair the strength of","【例】During the siege of Leningrad, famine swept through villages and debilitated entire populations.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-476272a0-932f56f8-ecd8aed5-c1507cb5-c0667a9a.mp3]",,"GRE::新东方GRE佛脚词改"
"resent","[rɪˈzent]","【释】v. 憎恨，生气 to be angry or upset about (someone or something that you think is unfair)","【例】In Dorothy West's novel The Living is Easy, the main character resents her father's authority over her independence.",,"【派】resentful（adj. 充满愤恨的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-2b7818e4-22d39c6a-c29fd612-2ffb3071-d03ce668.mp3]",,"GRE::新东方GRE佛脚词改"
"delightful","[dɪˈlaɪtfl]","【释】adj. （形容事物）令人愉悦的，令人高兴的 highly pleasing","【例】Readers who find rare words delightful cannot help but love the novel The Maytrees.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-6ce4a353-4f4dbef2-cd340ca5-e900cae8-5a3cfaef.mp3]",,"GRE::新东方GRE佛脚词改"
"decisive","[dɪˈsaɪsɪv]","【释】adj. 果决的，坚定的 resolute or determined","【例】The senator was highly respected as a decisive and impartial figure of authority.",,,,"【释】adj. 决定性的 determining what the result of something will be","【例】The fate of the team was sealed after the manager made the decisive step of withdrawing them from the competition.",,,,"【释】adj. 明显的 very clear and obvious","【例】By defeating Bayern Munich by ten goals, Real Madrid made a decisive statement on its status as the best team in the world.","【选】unmistakable",,,,,,,,,,"[sound:youdao-f0c2d788-7825a9e1-1b769475-96f94527-872bd4a6.mp3]",,"GRE::新东方GRE佛脚词改"
"testimony","[ˈtestɪmoʊni]","【释】n. 证词，证据 proof or evidence that something exists or is true","【例】The security camera footage provided the most damning testimony of the crime.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-e6790b72-99895ea0-1481e225-0ab3479a-937c549f.mp3]",,"GRE::新东方GRE佛脚词改"
"nominal","[ˈnɑːmɪnl]","【释】adj. 名义上的 existing as something in name only","【例】Car buyers should ignore the nominal price of a car, since dealers will always give a discount.",,,,"【释】adj. 微不足道的 very small in amount","【例】Despite having to drive three hours for the work conference, I was only reimbursed a nominal amount for gas.",,,,,,,,,,,,,,,,"[sound:youdao-3b4475f9-f251fe85-22ed4e40-8b1e0bdb-01d677ab.mp3]",,"GRE::新东方GRE佛脚词改"
"simultaneous","[ˌsaɪmlˈteɪniəs]","【释】adj. 同时的 happening at the same time","【例】The panel on Biotechnology is simultaneous with another on Cryptography, so you will have to choose which you prefer to go to.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-eb590961-dcdb5b30-21bc527d-5f7c4410-05c8f903.mp3]",,"GRE::新东方GRE佛脚词改"
"monotonous","[məˈnɑːtənəs]","【释】adj. 单调的 tediously uniform or unvarying","【例】The candidate responded to the monotonous campaign by making jokes and trying to entertain her staffers.","【选】repetitive",,,,,,,,,,,,,,,,,,,,"[sound:youdao-e29ceaba-806b8337-049be8f8-900c26a2-e5d8eec4.mp3]",,"GRE::新东方GRE佛脚词改"
"divination","[ˌdɪvɪˈneɪʃn]","【释】n. 预言，占卜 a prediction uttered under divine inspiration","【例】Croesus misinterpreted the oracle at Delphi's divination, and attacked the Persians thinking he would win.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-d0877194-9fac9cf9-705394fe-6e034a86-edd3f91f.mp3]",,"GRE::新东方GRE佛脚词改"
"virtuosity","[ˌvɜːrtʃuˈɑːsəti]","【释】n. 精湛的技艺 great ability or skill shown by a musician, performer, etc.","【例】By the age of 12, the young pianist had the virtuosity to play Chopin perfectly.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-44129395-3ff5924d-9ac00610-5a469998-d9186857.mp3]",,"GRE::新东方GRE佛脚词改"
"manifest","[ˈmænɪfest]","【释】adj. 显然的，明显的 easy to understand or recognize","【例】At the Battle of Milvian Bridge, a burning cross was made manifest in the sky and the Emperor Constantine immediately converted to Christianity following his victory.","【选】obvious, self-evident",,,"【释】v. 清晰地展示，显露出 to show (something) clearly","【例】Brianna's vague answers manifested her lack of knowledge about the project.","【选】reveal","【派】manifestation（n. 显然）",,,,,,,,,,,,,,"[sound:youdao-a1c8350d-dc73a225-85ffbc6e-14346767-89b4f0c5.mp3]",,"GRE::新东方GRE佛脚词改"
"purview","[ˈpɜːrvjuː]","【释】n. 视野，范围，权限 an area within which someone or something has authority, influence, or knowledge","【例】The new ban on gum chewing only applies to the purview of this school and is invalid outside its grounds.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-272c25ac-c6bfe20b-a22ba27e-3bb1cb92-317df2da.mp3]",,"GRE::新东方GRE佛脚词改"
"annex","[əˈneks]","【释】v. 附加 to add to something earlier, larger, or more important","【例】After annexing the shed to our home, we added insulation and electricity to turn it into a livable bedroom.",,,,"【释】v. 吞并 to incorporate (a country or other territory) within the domain of a state","【例】The territory of Alaska was annexed to the USA following its purchase from Russia in 1867.",,,,,,,,,,,,,,,,"[sound:youdao-de0294b6-2b7ed750-b25c0325-5c44896d-1f4d6685.mp3]",,"GRE::新东方GRE佛脚词改"
"shriek","[ʃriːk]","【释】v. 叫喊，尖叫 to make a loud, high-pitched cry","【例】Janice shrieked when the mouse ran over her feet unabashedly.","【选】caterwaul",,,,,,,,,,,,,,,,,,,,"[sound:youdao-42234269-bd35697f-71dcbee2-ac128628-12e03815.mp3]",,"GRE::新东方GRE佛脚词改"
"ephemeral","[ɪˈfemərəl]","【释】adj. 短暂的 lasting for a markedly brief time","【例】Any problems in their friendship are ephemeral and unlikely to leave a dent on their long-lasting relationship.","【选】short-lived, transitory","【派】ephemeron（n. 生命极短暂之物）","【反】enduring",,,,,,,,,,,,,,,,,,"[sound:youdao-af51f33a-cfdbd5ef-327416ef-3dc47aba-494d5de7.mp3]",,"GRE::新东方GRE佛脚词改"
"erudite","[ˈerudaɪt]","【释】adj. 博学的 having or showing knowledge that is learned by studying","【例】Because Russell was such a good public speaker, many people assumed he was an erudite scholar without bothering to check up on his credentials.","【选】learned",,"【反】unlettered",,,,,,,,,,,,,,,,,,"[sound:youdao-fdffbde0-83102035-922f2952-2a5abb49-faff46a0.mp3]",,"GRE::新东方GRE佛脚词改"
"plague","[pleɪɡ]","【释】v. 困扰 to cause worry or distress to","【例】Despite his brilliant career, Gerald was plagued by doubts and could not dispel his feeling of inferiority.",,,,"【释】n. 瘟疫，灾害 a disease that causes death and that spreads quickly to a large number of people","【例】Scientists now know that the deadly Black Death plague can be cured with simple antibiotics.",,,,,,,,,,,,,,,,"[sound:youdao-be3e007c-4579ac1c-0892558e-ba04c362-8cb60ac3.mp3]",,"GRE::新东方GRE佛脚词改"
"counterintuitive","[ˌkaʊntərɪnˈtuːɪtɪv]","【释】adj. 违反常理的，与直觉相反的 not agreeing with what seems right or natural","【例】Although it may seem counterintuitive to conduct strength training while injured, experts say it's the best way to heal.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-0906a22a-b9975513-72a91cbe-c0114165-651ad4a7.mp3]",,"GRE::新东方GRE佛脚词改"
"intriguing","[ɪnˈtriːɡɪŋ]","【释】adj. 非常有趣的 extremely interesting","【例】It's intriguing to scholars that this whole line of research is so full of paradoxes.","【选】fascinating",,,,,,,,,,,,,,,,,,,,"[sound:youdao-a78abbe2-5402617f-4ad7e2b4-666780b9-c14e6db6.mp3]",,"GRE::新东方GRE佛脚词改"
"magnanimous","[mæɡˈnænɪməs]","【释】adj. 大度的，慷慨的 having or showing a generous and kind nature","【例】It is difficult to reconcile the publicly magnanimous side of the congresswoman with her private pettiness.","【选】generous, benevolent",,,,,,,,,,,,,,,,,,,,"[sound:youdao-ca124202-0cdc8c7f-ffba2b79-123dc554-823483e1.mp3]",,"GRE::新东方GRE佛脚词改"
"untether","[ʌnˈteðər]","【释】v. 释放，脱离 to free from or as if from a tether","【例】Colin untethered the horse and let it go free into the wild highlands.","【选】divorce",,,,,,,,,,,,,,,,,,,,"[sound:youdao-8ffcdc68-4f20a2b2-54e2d2bc-8efb764f-054e218d.mp3]",,"GRE::新东方GRE佛脚词改"
"formulaic","[ˌfɔːrmjuˈleɪɪk]","【释】adj. 刻板的，俗套的 containing or made from ideas or expressions that have been used many times before and are therefore not very new or interesting","【例】The movie was criticized for employing stock characterizations that perpetuated formulaic depictions of stereotypes.","【选】canned",,,,,,,,,,,,,,,,,,,,"[sound:youdao-2645d727-34c51749-07f7e3ba-95dff99f-c886aa32.mp3]",,"GRE::新东方GRE佛脚词改"
"gambit","[ˈɡæmbɪt]","【释】n. 计谋，策略 a calculated move","【例】Realizing that he was behind by just 1% in the polls, the incumbent Senator made a final gambit by attacking his opponent's credibility in a series of television ads.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-34fcacb7-efdb82c9-1d4b2a10-90674643-a3580bd6.mp3]",,"GRE::新东方GRE佛脚词改"
"vivacious","[vɪˈveɪʃəs]","【释】adj. 活力四射的 happy and lively in a way that is attractive","【例】In this film, the dull rhetoric and plodding behavior of the hero make him a splendid foil to the witty and vivacious heroine.",,"【派】vivacity（n. 活力）","【反】phlegmatic",,,,,,,,,,,,,,,,,,"[sound:youdao-4d3fd683-b5d34f02-9979405b-2054bbf2-aa98bdd1.mp3]",,"GRE::新东方GRE佛脚词改"
"stratify","[ˈstrætɪfaɪ]","【释】v. 分层级 to divide or arrange into classes, castes, or social strata","【例】Many cities in this country were stratified into economic bands following the war, which resulted in a long-term segregation of the different populations.","【选】hierarchical","【派】stratification（n. 分层）",,,,,,,,,,,,,,,,,,,"[sound:youdao-7416c90e-8d3e6745-dba24dcd-441b4732-d65f7fb1.mp3]",,"GRE::新东方GRE佛脚词改"
"exceptional","[ɪkˈsepʃənl]","【释】adj. 不寻常的 not usual","【例】AC/DC's surprise performance at Bonnaroo Festival capped the exceptional weekend of music and fun.","【选】preternatural",,,"【释】adj. 杰出的，超常的 better than average","【例】The valedictorian was an exceptional student with a record high GPA and a passion to serve the community.",,,,,,,,,,,,,,,,"[sound:youdao-fe3bdeda-3afdf1ab-afaea331-2599ae37-c462af74.mp3]",,"GRE::新东方GRE佛脚词改"
"slump","[slʌmp]","【释】v. 急速下跌 to decrease suddenly and by a large amount","【例】During the recent drought in California, housing prices slumped in certain parts of the state.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-1a1f09b8-2e7e821d-221c64e5-8c8721dd-dc88768a.mp3]",,"GRE::新东方GRE佛脚词改"
"pessimistic","[ˌpesɪˈmɪstɪk]","【释】adj. 悲观的 having or showing a lack of hope for the future","【例】Even the team's most pessimistic moments prior to the biopsy didn't envisage a disease so aggressive.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-3d134913-32ddfb6f-24cf094f-4adf733e-0567da9e.mp3]",,"GRE::新东方GRE佛脚词改"
"dilute","[daɪˈluːt]","【释】v. 削弱，减轻 to lessen the strength of (something)","【例】The board proposed that Shah dilute the political message in his film so as to make it acceptable to a larger audience.",,,,"【释】v. 稀释 to make thinner or less strong by adding water or another liquid","【例】The instructions on the bottle were clear: the medicine needed to be diluted in water before consumption.",,,,,,,,,,,,,,,,"[sound:youdao-82bf1550-b5409aff-1ae83612-ec470396-a2100452.mp3]",,"GRE::新东方GRE佛脚词改"
"palatable","[ˈpælətəbl]","【释】adj. 美味的 having a pleasant or agreeable taste","【例】Jim did not find sushi palatable because he hated the taste of fish, both cooked and raw.","【选】appetizing",,,"【释】adj. 称心如意的，可接受的 pleasant or acceptable to someone","【例】A good physician tries to prepare patients psychologically for news that might not be immediately palatable.",,,,,,,,,,,,,,,,"[sound:youdao-1a903a81-fa177b7f-94d14c79-18667bc2-04c854ce.mp3]",,"GRE::新东方GRE佛脚词改"
"stagnate","[ˈstæɡneɪt]","【释】v. 停滞 to stop developing, progressing, moving, etc.","【例】Wage growth has stagnated since the 1990s for workers of all education levels.",,"【派】stagnant（adj. 停滞的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-ed0f0ba4-84c6bf8d-e7534093-be1c1082-f3daca9c.mp3]",,"GRE::新东方GRE佛脚词改"
"esoteric","[ˌesəˈterɪk]","【释】adj. 难懂的 difficult to understand","【例】Johnson's writing is considered esoteric and arcane because it is filled with obscure references and baffling digressions.","【选】arcane, recondite, abstruse",,,,,,,,,,,,,,,,,,,,"[sound:youdao-0e4f74b5-65d9fd06-a8a022d7-97e5c625-9766f320.mp3]",,"GRE::新东方GRE佛脚词改"
"befuddle","[bɪˈfʌdl]","【释】v. 使…困惑 to confuse","【例】Sherlock solves mysteries that befuddle the detectives of Scotland Yard, while Watson writes about their adventures in The Strand.","【选】perplex",,,,,,,,,,,,,,,,,,,,"[sound:youdao-cf2e7a9e-fcde7e61-ea207385-8793b4a4-846af9b9.mp3]",,"GRE::新东方GRE佛脚词改"
"deliberate","[dɪˈlɪbərət]","【释】v. 深思熟虑 to think about or discuss something very carefully in order to make a decision","【例】Writing letters by hand requires the author to deliberate over his words more carefully than firing off an angry e-mail would.","【选】calculation",,,"【释】adj. 故意的 done or said in a way that is planned or intended","【例】Despite appearing to speak off the top of his head, Prof. Kim actually plans all his lectures in a very thorough and deliberate manner.",,,,,,,,,,,,,,,,"[sound:youdao-f2a832a9-c522a207-2eab4ba7-a5f4e460-d5aa7e9c.mp3]",,"GRE::新东方GRE佛脚词改"
"antithesis","[ænˈtɪθəsɪs]","【释】n. 相反，对立 the exact opposite of something or someone","【例】Scientific discoveries frequently defy common sense, but this does not entail that one is the antithesis of the other.",,"【派】antithetical（adj. 对立的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-28a5a209-1220a211-54916d53-f0ff5dfe-71e5e999.mp3]",,"GRE::新东方GRE佛脚词改"
"valediction","[ˌvælɪˈdɪkʃn]","【释】n. 告别 an act of bidding farewell","【例】While valedictions were logical and necessary in the age of handwritten letters, the sheer volume of modern e-mails makes formal signoffs unnecessary.",,"【派】valedictory（adj. 告别的）",,,,,,,,,,,,,,,,,,,"[sound:youdao-0c7198c8-5e476d51-d0d7f4b5-f11c7415-637d78de.mp3]",,"GRE::新东方GRE佛脚词改"
"hamstring","[ˈhæmstrɪŋ]","【释】v. 损坏 to damage or ruin the force or effectiveness of (something or someone)","【例】The drone industry largely sees itself as hamstrung by an overreaching Federal Aviation Administration.","【选】impair",,,,,,,,,,,,,,,,,,,,"[sound:youdao-3d43de22-57513a15-378e7385-fd6f54c7-a2e448c8.mp3]",,"GRE::新东方GRE佛脚词改"
"complacent","[kəmˈpleɪsnt]","【释】adj. 自我感觉良好的，自满的 marked by self-satisfaction especially when accompanied by unawareness of actual dangers or deficiencies","【例】Although Lamar was 40 years old, unmarried, unemployed, and living with his mom, he felt complacent about his life.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-36b28b72-f6104334-13cda0ef-78f6826a-72b0a7e4.mp3]",,"GRE::新东方GRE佛脚词改"
"hinder","[ˈhɪndər]","【释】v. 阻碍 to make (something, such as a task or action) slow or difficult","【例】Even overt deficiencies in the author's work have not hindered its respectful reception by most modern critics.","【选】inhibit, block",,,,,,,,,,,,,,,,,,,,"[sound:youdao-8c0d80ef-5e2ccdee-9e2a4509-01954da8-6dc6d4aa.mp3]",,"GRE::新东方GRE佛脚词改"
"formidable","[ˈfɔːrmɪdəbl]","【释】adj. 可怕的 causing fear, dread or apprehension","【例】The difficulties we will encounter in the year ahead may be even more challenging and formidable than those of last year.","【选】daunting",,,"【释】adj. 令人惊叹的，令人敬畏的 tending to inspire awe or wonder","【例】Volkswagen has long been a symbol of the efficiency and engineering skills that made Germany one of the most formidable economies in the world.",,,,"【释】adj. 艰巨的，难对付的 very difficult to deal with","【例】The giant Goliath was a formidable opponent, but David managed to slay him with a single slingshot.",,,,,,,,,,,"[sound:youdao-570263b2-baaaa102-8e7fddbc-a2964438-90c9c106.mp3]",,"GRE::新东方GRE佛脚词改"
"impenetrable","[ɪmˈpenɪtrəbl]","【释】adj. 难懂的 impossible to understand","【例】Because postmodernist critics often rely on difficult language, their prose frequently seems impenetrable to non-specialists.",,,,"【释】adj. 无法穿透的，无法进入的 incapable of being penetrated or pierced","【例】Fort Knox is an impenetrable fortress that houses the remaining US federal gold.",,,,,,,,,,,,,,,,"[sound:youdao-20ba1e68-bbe27a7a-42d054d4-842dd42a-2618b8e5.mp3]",,"GRE::新东方GRE佛脚词改"
"obtrude","[əbˈtruːd]","【释】v. 强迫，强加于 to force or impose (as oneself or one's ideas) without warrant or request","【例】I never should have been so rude as to obtrude my opinions upon other people.",,,,"【释】v. 闯入（流行的说法是乱入） to become involved with something or to become noticeable in an unpleasant or annoying way","【例】I hate to speak ill of Tom but will be forced to do so if he continues to obtrude into this discussion.",,,,,,,,,,,,,,,,"[sound:youdao-ba85466d-07954a5a-019842cb-20159e1d-bfcb6be9.mp3]",,"GRE::新东方GRE佛脚词改"
"debunk","[ˌdiːˈbʌŋk]","【释】v. 拆穿，揭露…的错误 to show that something (such as a belief or theory) is not true","【例】A few years ago, popular TV shows started debunking famous myths, such as the belief in the yeti.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-fd8b13e6-bb196f47-c5492966-96928c8f-ee412bdc.mp3]",,"GRE::新东方GRE佛脚词改"
"umbrage","[ˈʌmbrɪdʒ]","【释】n. 生气，不悦 a feeling of being offended by what someone has said or done","【例】Some of the most popular musicians working today have taken umbrage with Spotify's insistence on an equal, free subscription tier.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-17d05cbf-225d88fb-b5d520cc-7cf2b122-5fdaab8d.mp3]",,"GRE::新东方GRE佛脚词改"
"affinity","[əˈfɪnəti]","【释】n. 倾向，偏好 a liking for or an attraction to something","【例】I have a natural affinity for the coast as I grew up on the island-city, Singapore.",,,,"【释】n. 密切联系 likeness based on relationship or causal connection","【例】Affinities between the intricate design of high gothic architecture and the polyphonic art of Bach do exist.",,,,,,,,,,,,,,,,"[sound:youdao-552449c2-e225330a-668e66e4-fb75b9e3-59456081.mp3]",,"GRE::新东方GRE佛脚词改"
"ramification","[ˌræmɪfɪˈkeɪʃn]","【释】n. 结果，后果 something that is the result of something else","【例】Gender inequality is a pressing human issue that also has huge ramifications for jobs, productivity, and GDP growth.",,,,"【释】n. 分支 branch","【例】Humans represent only a single ramification of the primate family tree.",,,,,,,,,,,,,,,,"[sound:youdao-62465f41-536b02a1-d1d38423-297c45e9-1283461e.mp3]",,"GRE::新东方GRE佛脚词改"
"immerse","[ɪˈmɜːrs]","【释】v. 浸润，浸泡 to put (something) in a liquid so that all parts are completely covered","【例】The weather was so warm that he could not wait to immerse himself into the ice cold pool.",,,,"【释】v. 全心沉浸在…中 to make (yourself) fully involved in some activity or interest","【例】The concept of virtual reality, a technology that immerses people in an artificial world, has been around for years but has never taken off.",,,,,,,,,,,,,,,,"[sound:youdao-f5e6cc3f-fa177ea4-5f501cd1-cccd41e4-55b00ad7.mp3]",,"GRE::新东方GRE佛脚词改"
"demise","[dɪˈmaɪz]","【释】n. 死亡，灭亡 death","【例】The cause of Mozart's demise is a long-standing medical enigma: over the years, physicians have suggested more than 100 possibilities, including poisoning, malnutrition, kidney disease, and heart failure.",,,,"【释】v. 让位 to transmit by succession or inheritance","【例】Upon the death of Queen, the throne will demise to her daughter, who will become the second Queen of this country.",,,,,,,,,,,,,,,,"[sound:youdao-cfc7fc77-86a082c5-1ca78cfd-fd467881-6675ce19.mp3]",,"GRE::新东方GRE佛脚词改"
"compassionate","[kəmˈpæʃənət]","【释】adj. 同情的 feeling or showing concern for someone who is sick, hurt, poor, etc.","【例】As a compassionate nun, Mother Theresa devoted her life to helping poor people throughout the world.","【选】warmhearted",,"【反】indifferent",,,,,,,,,,,,,,,,,,"[sound:youdao-86d4f41c-3923945b-2e90a713-5d940989-7f3db4fb.mp3]",,"GRE::新东方GRE佛脚词改"
"ignorant","[ˈɪɡnərənt]","【释】adj. 无知的 destitute of knowledge or education","【例】Some clients talk about sports so much that it pays to read up on it frequently and not remain ignorant about the field.","【选】unfamiliarity",,,"【释】adj. 不知情的，无意识的 unaware or uninformed","【例】The police officer let him off with a warning as he had just arrived in the country and was ignorant of the precise traffic rules in this area.",,,,,,,,,,,,,,,,"[sound:youdao-6317c74f-c255580e-14607c07-ecb686f2-a8331766.mp3]",,"GRE::新东方GRE佛脚词改"
"immortal","[ɪˈmɔːrtl]","【释】adj. 不朽的，永存的 marked by the quality or state of someone or something that will never die or be forgotten","【例】Apocalypse is the immortal character in the movie X-Men who had been asleep for a few thousand years.",,"【派】immortality（n. 不朽）",,,,,,,,,,,,,,,,,,,"[sound:youdao-a4b56ae6-9862aa06-e4317894-e9ca5f2e-24776eac.mp3]",,"GRE::新东方GRE佛脚词改"
"assuage","[əˈsweɪdʒ]","【释】v. 安抚，缓和 to make (something, such as an unpleasant feeling) less painful, severe, etc.","【例】Selling homemade potholders on Etsy will not assuage Jeff's economic problems.",,,"【反】intensify",,,,,,,,,,,,,,,,,,"[sound:youdao-5f6b6d3d-16ad5e65-6373ba5f-dca31b2f-144fb05a.mp3]",,"GRE::新东方GRE佛脚词改"
"expiation","[ˌekspiˈeɪʃn]","【释】n. 赎罪 the act of making atonement","【例】Some people will no doubt insist that Tokyo hasn't done enough in its expiation of war memories.",,"【派】expiate（v. 赎罪）",,,,,,,,,,,,,,,,,,,"[sound:youdao-66002d32-0c35ee88-c74b7158-ec740cc8-5b92874f.mp3]",,"GRE::新东方GRE佛脚词改"
"loquacious","[ləˈkweɪʃəs]","【释】adj. 话多的 liking to talk and talking smoothly and easily","【例】Dan is a loquacious boy whose verbal charm is quite simply unsurpassed.","【选】garrulous","【派】loquacity（n. 啰嗦）","【反】taciturn",,,,,,,,,,,,,,,,,,"[sound:youdao-bb539fef-11840877-4ca08c2c-8a95ba12-e4c4dbb3.mp3]",,"GRE::新东方GRE佛脚词改"
"marginal","[ˈmɑːrdʒɪnl]","【释】adj. 边缘的，不重要的 not very important","【例】An effective member of a debating team must focus clearly on the principal issue and avoid marginal argument.","【选】peripheral, fringe",,,,,,,,,,,,,,,,,,,,"[sound:youdao-18c1282c-f1a3109f-3c354596-1b12303e-87bcd749.mp3]",,"GRE::新东方GRE佛脚词改"
"adjuration","[ˌædʒʊˈreɪʃən]","【释】n. 恳求 an earnest, solemn appeal","【例】The lawyer made an adjuration for his client to accept the plea from the prosecutors as it would be in his best interests to do so.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-6e3b7772-542f3d8e-ab4d1ffa-8ea49712-5b4f6041.mp3]",,"GRE::新东方GRE佛脚词改"
"dreary","[ˈdrɪri]","【释】adj. 令人悲伤的 causing unhappiness or sad feelings","【例】Although the weather was particularly dreary, we stood outside all day at the race track.",,,,,,,,,,,,,,,,,,,,,"[sound:youdao-28b9a02f-4038c608-ee457714-e6a9d054-53ba864c.mp3]",,"GRE::新东方GRE佛脚词改"
"callous","[ˈkæləs]","【释】adj. 冷漠的 not feeling or showing any concern about the problems or suffering of other people","【例】The miser was uncompassionate to the end and showed a callous disregard for the poor and homeless.","【选】heartless",,,,,,,,,,,,,,,,,,,,"[sound:youdao-0179e553-f6c6a707-6fbb72dd-99af9f6d-d3f20166.mp3]",,"GRE::新东方GRE佛脚词改"
"discount","[ˈdɪskaʊnt]","【释】v. 低估，轻视 to minimize the importance of","【例】It was no surprise that Jim became sunburned after discounting the importance of sunscreen when he traveled to Australia.","【选】undervalue",,,,,,,,,,,,,,,,,,,,"[sound:youdao-42a80a33-aa18f60d-6cb6d41c-5813ad58-f8df500c.mp3]",,"GRE::新东方GRE佛脚词改"
"ostentatious","[ˌɑːstenˈteɪʃəs]","【释】adj. 炫耀的 marked by or fond of conspicuous or vainglorious and sometimes pretentious display","【例】Christina is a very ostentatious celebrity who wears luxurious dresses covered with gold and diamonds.",,,"【反】modest",,,,,,,,,,,,,,,,,,"[sound:youdao-1d11c67d-6f408398-d4330f8a-784722d5-0ad7a195.mp3]",,"GRE::新东方GRE佛脚词改"
