Word,Mixed Meaning
discard,"<ul><li>When you discard something, you get rid of it. If your closet is overflowing with clothes you haven't worn since 1992, why not discard some of them?</li><li>When the verb discard first entered the English language in the sixteenth century, it referred to card playing and meant “to throw a card away.” Discard is still used to describe getting rid of unlucky cards, but today, you’ll also hear it used in a broader sense — we discard, or throw away, things that are undesirable or no longer useful. You might discard a worn out shoe, for example.</li></ul>"
discernible,"<ul><li>Discernible means noticeable. If your extra hours training are having no discernible influence on your basketball game, it means your game has not changed.</li><li>You can use discernible in two senses. First, you can use it to describe something you physically see: Because the sky was so clear, the ship was discernible from miles off. You can also use it to describe something you sense or understand: When your younger brother told he was sorry he broke your baseball bat, the truth was discernible in his voice.</li></ul>"
discharge,"<ul><li>To discharge is to fire a gun or an employee, or to set someone free from a hospital or jail. You'd probably like being discharged from jail, but not from your job, unless you really hate it.</li><li>As a verb, discharge is “to release,” and as a noun, it refers to the act of or setting free. You'd be discharged from the hospital once the discharge from your wound has stopped. Ew. The writer Ambrose Bierce jokingly defined emotion as ""a prostrating disease caused by a determination of the heart to the head. It is sometimes accompanied by a copious discharge of hydrated chloride of sodium from the eyes.” Wouldn't want to cry in front of that guy!</li></ul>"
discipline,"<ul><li>When you have discipline, you have self-control. When you discipline children, you are either teaching them to be well-behaved, or you are punishing and correcting them.</li><li>The origins of this word offer great clues about its current meanings. The Old French descepline referred to punishment and suffering. The Latin disciplina meant ""teaching, learning."" The Old English version referred to a branch of knowledge or field of study (so if you're really good at word origins, you might want to make etymology your discipline). Developing discipline as a form of training is a military concept that's more than 500 years old.</li></ul>"
discrete,"<ul><li>Discrete means separate or divided. A discrete unit is a separate part of something larger. A room is a discrete space within a house, just as the crankshaft is a discrete part of a car engine.</li><li>If something is discrete, it has its own space. An ice cube comes from an ice tray, but it has its own discrete compartment. A student government might have discrete committees for different projects. Don't confuse discrete with its close cousin discreet, which means “appropriately private.” Billionaire Bruce Wayne, for example, is very discreet about his secret life as Batman. You could say Batman is a discrete, or separate, part of Bruce Wayne’s identity. Anything distinct and separated is discrete.</li></ul>"
disentangle,"<ul><li>When you disentangle something, you free it from a snarl or tangle. If you have long hair and pierced ears, you've probably had to disentangle an earring from a curl of hair.</li><li>Something that becomes tangled or twisted needs someone to disentangle it — you might disentangle your kitten from a length of yarn, or disentangle your jacket from a thorny bush when you're hiking through the woods. You can also disentangle someone figuratively, helping them get out of an uncomfortable or difficult situation. Tangle is at the heart of disentangle, from the fourteenth century word tagilen, ""to involve in a difficult situation.""</li></ul>"
disguise,"<ul><li>A disguise is something you put on so no one recognizes you. It also can be used as a verb. You can disguise yourself with a wig and mustache; that's a great disguise.</li><li>Disguise can be used anytime you're talking about concealing or hiding something. Most of the time we think of a disguise as something you wear, but you can also disguise your feelings. Criminals might disguise their intentions. You can also use the word to describe something that seems to be one thing, but turns out to be another. You missed the plane, but then the plane crashed. That's a blessing in disguise.</li></ul>"
disgust,"<ul><li>Disgust is a strong feeling of dislike. If you can't stand peas, you might wrinkle your nose in disgust when you are served a bowl of pea soup.</li><li>Disgust is both a noun and a verb. As a noun, it's a reaction to something you think is gross or terrible, like showing your disgust at a movie by getting up and leaving. As a verb, disgust means ""to offend,"" like when your class's bad behavior at the assembly disgusts all the teachers, or ""to gross out or revolt."" If you pick your nose in public, you will disgust everyone around you.</li></ul>"
disintegrate,"<ul><li>Soak your tooth in a cup of soda for long enough and it will disintegrate, or break apart from decay.</li><li>The word disintegrate comes from a combination of the prefix dis- meaning ""do the opposite of"" and the Latin integrare meaning ""to make whole."" When something disintegrates, it does the opposite of become whole; it falls apart. Objects can either disintegrate over time — like a tooth soaking in a cup of soda, or instantaneously — like a building disintegrating into dust from an explosion.</li></ul>"
dismantle,"<ul><li>To take something apart or down is to dismantle it. If you dismantle a computer to see what it looks like inside, you better know how to put it back together, or you might be looking at the inside of your room for awhile.</li><li>Dismantle is a verb used for both physical things and ideas. You can dismantle a campground by taking down the tents and breaking apart the fire logs, or you can dismantle a government by going against its leadership and bringing down its rule. Often when you dismantle something, you take away its ability to work, as with a nuclear warhead, but you can also take apart decorative or non-working things, as when you dismantle a science-fair display or a city made of blocks.</li></ul>"
dismiss,"<ul><li>At the end of a lesson period, your teacher says, ""class dismissed."" This means that you and the rest of the students are free to go.</li><li>Dismiss means to let go. If a judge dismisses a case, it means he's saying it has no merit, and is throwing it out of court. If you are dismissed from your job, it means you've been fired. And if you've been ignoring your friends' warnings that your boyfriend is cheating, you've been dismissing their concerns. ""Don't dismiss me!"" is something you say when the person you're talking to is not taking you and your comments seriously.</li></ul>"
disorder,"<ul><li>Disorder is a lack of order — in other words, chaos, clutter, and general disarray.</li><li>If everyone in your class is yelling and throwing things, there's no order: there's disorder. If all the library books are out of order and thrown sloppily on the shelf, that's disorder, too. If you mess or mix something up, you're disordering it. Many medical conditions and diseases are also called disorders, like post-traumatic stress disorder. Whenever there's disorder, something is wrong or out of whack.</li></ul>"
dispensable,"<ul><li>Something that's dispensable isn't necessary — you don't really need it. Your vintage typewriter is cool, but it's also dispensable, since you can type and print with your laptop.</li><li>If robots are invented to do most of the jobs in the world, human workers will become dispensable, or unneeded. Likewise, many home chefs might insist that if you have a really good, sharp knife, other tools like peelers and choppers and food processors are completely dispensable. The earliest definition of this word was ""subject to dispensation,"" from the Latin dispensare, ""disburse or distribute,"" although by the 1640s dispensable meant ""that which can be done without.""</li></ul>"
dispersal,"<ul><li>Dispersal is the act of spreading something around. This could be positive (like a dispersal of money) or negative (like a dispersal of a crowd because of a bomb).</li><li>If you know that dispersing is when something spreads out or separates, then you have a headstart to understanding dispersal. Dispersal causes something to be diffused or disseminated, like the dispersal of seeds in a garden.  A strong wind could cause the dispersal of someone’s homework. A tear gas bomb causes the dispersal of tear gas, which in turn will cause the dispersal of a crowd. Anytime something is spreading out or becoming widespread, there's a dispersal at play.</li></ul>"
disperse,"<ul><li>To make a crowd at a party disperse, you could take away the food, turn off the music and ask for volunteers to clean up. Disperse is to spread out people or things, making them move in different directions.</li><li>Imagine yourself standing on a basketball court holding a cup packed tight with marbles. If you turn it over, the marbles will disperse across the floor, moving away from you in all directions. Another word for this is scatter. Don't confuse this word with disburse, which means to distribute money. Remember that false friends disperse when you cease to disburse.</li></ul>"
displace,"<ul><li>When you displace something, you move it to a new position — either in a concrete sense, like moving a chair, or in an abstract sense, like firing someone from a job.</li><li>Displace means to forcefully move or remove something  — or someone — but it can also mean “to take the place of,” again, with some force. If your brother is sitting in your seat, you might say, “Get out of my chair! Don’t make me have to displace you!” Similarly, when a new employee is hired at work, she might displace the person who had the job before.</li></ul>"
disposition,"<ul><li>Someone's disposition is their mood or general attitude about life. If your friend woke up on the wrong side of the bed, tell her that she might need a disposition makeover.</li><li>Disposition means the positive or negative way a person views the world. In contrast, your character is determined by your inner moral values, and your personality reflects what you're like as an individual. An animal with an excellent disposition is friendly towards people. If you are cheerful, you're often said to have a sunny disposition. Disposition can also mean ""getting rid of something,"" so cleaning your room might involve the disposition of empty pizza boxes and soda cans.</li></ul>"
dispute,"<ul><li>If kids can't settle their own argument, they may need someone to mediate their dispute, or conflict. You can often tell this is the case if you hear the loud cry, ""Mom!""</li><li>The noun dispute means any conflict or disagreement. The countries were in the middle of a border dispute; both sides claimed the toxic waste dump belonged to the other. As a verb, dispute can mean to quarrel or argue, but it can also mean to take exception to something. If your boasting friend crows because you lost the trivia game to her by 150 points, you may want to dispute the facts. It was only 145 points.</li></ul>"
dissipate,"<ul><li>To dissipate is to disperse or fade away — as a bad smell will dissipate (usually) if you wait long enough.</li><li>Dissipate can also mean “spend or use wastefully.” If you win the lottery, you might suddenly find yourself with a group of new friends encouraging you to dissipate your money (on them). Note that dissipate can be used with or without an object: ""Once you dissipate your wealth, your new group of friends will dissipate without a trace.""</li></ul>"
dissipated,"<ul><li>If your Great Aunt Maude tells you you've become a dissipated bum, she means you don't think of anything but how much fun you're having. If you got a summer job and stopped playing arcade games all day, she might change her tune.</li><li>The adjective dissipated is used to describe people who've lost their moral center, and instead of following the rules of conventional morals, prefer to be utterly self-indulgent. The word comes from the verb dissipate, which means ""to disperse,"" but as an adjective it's always used for people who've gone wrong in some way. If you really want to lay into someone, use these synonyms and call him a ""dissipated, dissolute, debauched, degenerate jerk.""</li></ul>"
dissuade,"<ul><li>When you dissuade someone, you convince that person not to do something: “When Caroline saw Peter's broken leg, she tried to dissuade him from going on the ski trip.”</li><li>Remember the meaning of dissuade by comparing it to its more common relative persuade. The suade part that both words share has origins in the Latin root suadēre, meaning “to urge.” In the case of persuade, the prefix per- means “thoroughly,” intensifying “to urge” and giving persuade its meaning of “to convince.” Think of dissuade as the opposite of persuade: the prefix dis- reverses the action of the root, giving the meaning of not urging, in other words, convincing someone NOT to do something.</li></ul>"
distant,"<ul><li>Distant describes something that's far away, like another planet, a ship far out at sea, or the cousin who never calls or shows up for family events.</li><li>Time, like miles, can make something distant. People get excited during awards season, but most have at best a distant recollection of who won Oscars two years ago — meaning the memory is remote. If you've ever been accused of seeming distant, how were you acting at the time? Distracted, not showing much interest or patience, bored? Too many experiences like that and once-close friends will become distant, meaning they'll drift apart.</li></ul>"
distinct,"<ul><li>When something is distinct, it is easily identifiable or set apart from others of its kind.  An eighth-grader who is six feet tall has a distinct advantage over the other kids on the basketball court.</li><li>A thing can be distinct if it is easy to see, either because it is different in some way from the things around it or if it is more clear and visible, as in: “The license number of the getaway car was more distinct once I cleaned my glasses.”  The word distinct comes from “to distinguish,” which is when a person or thing is set apart from the pack: “The research that she did was distinct in its attention to detail.”</li></ul>"
distinction,"<ul><li>When you are marked for distinction, it means you are someone who is going to do well in life. You will set yourself apart from others. Distinction means being set apart, often by excellence.</li><li>When things are distinct from one another, they are different. It is the distinctions that make them this way. In your school, an outside observer might at first be unable to see the distinctions among the kids, but with a little time they'll be able to see how kids are identified and associated with their peculiar qualities.</li></ul>"
distinctive,"<ul><li>Her big eyes and plump lips are distinctive features that make her a great model. These are just some of the special features that distinguish her.</li><li>You might recognize the Latin prefix dis in the adjective distinctive. Dis often means ""apart"" or ""away."" Think of this when trying to remember the word distinctive. Someone with distinctive features has features that set them ""apart"" from others. Yes, its stepped-back architecture and distinctive spire are among the Empire State Building's distinctive features, but its most distinctive feature has to be its height: for decades there wasn't another building in New York that came close!</li></ul>"
distinctly,
distinguish,"<ul><li>To distinguish means to tell apart. If you win the lottery, you’re going to need to learn to distinguish between people who really like you and people who like your money.</li><li>To distinguish is to discern, which means to perceive or recognize the way something differs from what’s around it. It takes discerning taste buds to distinguish between Coke and Pepsi. Distinguish also means to separate yourself out from the pack, usually in a good way. You might distinguish yourself at a Comics Convention with your encyclopedic knowledge of Krazy Kat.</li></ul>"
distribute,"<ul><li>To distribute is to disperse widely, hand out, or spread around. While you're still snoozing, the paper boy is busy distributing the newspaper all over the neighborhood.</li><li>This verb was first recorded in the early 15th century and has its roots in the Latin distributus, meaning “to divide.” Think of dividing up the last cookies in the cookie jar and passing them out to all your friends. Distribute can also mean to space out or arrange in a particular order — you'd want to distribute the chairs in even lines across the floor when setting up for a concert, for example.</li></ul>"
distribution,"<ul><li>Distribution means the passing out of something. A teacher is in charge of distribution of corrected essays. A lunch lady manages the distribution of food.</li><li>Distribution can also refer to the way something is distributed. In our country, many are concerned about the distribution of wealth, which is increasingly concentrated in the hands of the richest few. When you put money in a brokerage account, it's called a contribution. Taking it out is a distribution.</li></ul>"
disturb,"<ul><li>To disturb is to bother. If you hang a ""Do not disturb"" sign on the outside of your hotel room door, you want to be left alone.</li><li>Disturb comes from the Latin prefix dis-, meaning ""completely"" and turbare, meaning ""to disorder."" To disturb is, in a sense, to completely disorder. When you disturb something, you interfere with its normal function. Along those lines, it's also a word used to describe the interruption of sleep or relaxation. Your alarm disturbs you from sleep every morning. When something disturbs you, it can also cause you emotional anxiety.  A horror movie might disturb you with its goriness.</li></ul>"
diverse,"<ul><li>A diverse group is made up of people or things that are very different from each other. If your class mixes kids from all over the world, you could call it diverse.</li><li>The adjective diversified has the same meaning, and a near synonym is varied. An earlier spelling of the English adjective was divers, and the final –e was probably added by association with words such as traverse and converse. The word divers is still in use in the sense ""more than one, several, various:"" divers methods and styles.</li></ul>"
diversification,"<ul><li>Diversification is the opposite of sameness. Use diversification to describe the goal achieved by a store that started with deli sandwiches and now offers gourmet coffee, muffins, soups, and salads.</li><li>If a group seeks diversification, it wants to attract people of different ages from various backgrounds. If your financial adviser tells you that your stock portfolio needs diversification, this means you need to have stocks from a variety of companies and different industries. In other words, things should be more diverse. Use that to remember how to pronounce the word: Say diverse, then add if-ick-a-shun.</li></ul>"
diversify,"<ul><li>Diversify means to vary in type. It's often used to discuss risk in financial activities. You might diversify your investments by spreading your wealth among different types of stocks.</li><li>You may have noticed that diversify looks like the word diverse, an adjective that describes showing variety and difference. If you want to diversify your interests, that means you want to mix it up and do more than just play Dungeons and Dragons all the time — you might become active in sports, theater, and the math club. Diversify can also describe expanding into new areas. A company might diversify by sending its sales force into Asia and Latin America.</li></ul>"
diversity,"<ul><li>When there's diversity, there's variety. Often, this word is used for diversity of race, class, or gender.</li><li>To have diversity, you need a mix of whatever you're talking about. If you like science fiction, romantic comedies, cartoons, and action movies, then you like a diversity of types of films. If you like nothing but kung fu films, then you don't like a diversity of films. No matter what kind of diversity you're talking about, there needs to be a real mix, kind of like a huge box of Crayolas.</li></ul>"
divert,"<ul><li>To divert means to shift or turn from one thing to another. A magician might attempt to divert your attention as he shoves the rabbit into the hat.</li><li>The police will divert traffic if there has been an accident that blocks the road, and it's a good idea to divert some of your income into a savings account so you don't spend it all. Are you throwing a surprise party for a friend at his house? Have a neighbor divert him for a little while if he comes home early so that you can finish getting ready. While these uses concern physically guiding something to a different location, divert can also be used to mean ""distract"" or ""entertain."" If your friend can't stop worrying about her grades, you might want to divert her with the latest school gossip.</li></ul>"
divest,"<ul><li>It could be your wine portfolio, your stake in a mining company, or even the extra coats that are taking up space in your closet. Whatever it is, when you divest something, you get rid of it.</li><li>Divest is sort of a fancy way to say “dispose of.” It’s often used in a business context to describe companies or governments that divest some of their holdings by selling them off. It can also be used in the sense of taking something away from someone. For example if your boss becomes insane and power mad, his handlers may divest him of his title, meaning his position is taken away from him.</li></ul>"
doctrine,"<ul><li>A doctrine is a set of beliefs. The word comes from the Latin doctor for “teacher,”  so think of a doctrine is the teachings of a school, religion, or political group.</li><li>The Monroe Doctrine is the policy that President Monroe introduced in 1823 to limit European influence in the Americas. It has been a major part of U.S. foreign policy, but was revamped in 2013 by Secretary of State John Kerry in the Kerry Doctrine. Doctrine and doctor derive from the same Latin word, docere, which means ""to teach"": doctor means ""teacher,"" and doctrina means ""teaching, learning.""</li></ul>"
domestic,"<ul><li>Domestic generally means relating to someone's family, home, or home country. Domestic work is work done in the home — a domestic is someone who works in a home, such as a nanny or a maid.</li><li>Domestic is also used to refer to products that are produced in your country, or policies and affairs that relate to your country. And domestic animals, such as cats and dogs, are used to living with people. Domestic derives from Middle English, from Old French domestique, from Latin domesticus, from domus, ""house.""</li></ul>"
dormant,"<ul><li>That old dog was dormant for so long he was confused for a furry doormat, but a doormat is likely to stay dormant, or inactive, because it is lifeless: that old dog has some life in him yet.</li><li>Volcanoes are described as dormant when they stay cool for a long time, without spewing hot lava and ash. They may have the ability to come to life, but they remain dormant, or inactive. Dormant comes from French dormir, ""to sleep,"" and it refers to living things that are on a break rather than things that have died. Being dormant is being temporarily at rest, although sometimes, as with some cancer cells, things become permanently — and thankfully — dormant.</li></ul>"
dramatically,
drastic,"<ul><li>Something that is drastic is violent, forceful, and extreme. If you are saving for a car and you only have $50, you need to make a drastic change to your money accumulation scheme.</li><li>The word drastic comes from the Greek word for effective, but we use it to mean incredibly effective. If you want a drastic makeover, get rid of all your clothes, change your hair completely, and pick up a new way of speaking. Sometimes drastic action goes too far and so has bad consequences. A bankrupt company might make a drastic decision to fire the management without figuring out how to manage itself in the future.</li></ul>"
drastically,
drive,"<ul><li>To drive is to operate or travel in a motor vehicle. You can drive a car, a bus, or a go-kart.</li><li>Drive is one of those multi-functioning words with a lot of uses. In a very general sense it relates to pushing, or a push in a direction; drive and go go hand in hand. You could drive across country, drive cattle on a cattle drive, drive a golf ball by hitting it off a tee, drive prey into the open, clean your computer’s hard drive, or drive someone crazy. But do you really have the drive to do all that?</li></ul>"
dual,"<ul><li>Dual means double, or having two elements. If you have a dual major, it means you're majoring in two subjects, like astronomy and microbiology.</li><li>The adjective dual comes from the Latin duo, for two, and means having two parts. You can have a dual purpose, following two goals at once. To copilot an airplane, you need a cockpit with dual controls. If you're sometimes nasty and sometimes sugar sweet, people might think you have a dual personality. Don't confuse dual, though, with duel, which is a fight between two people.</li></ul>"
duplicate,"<ul><li>Duplicate describes something that's an exact copy. If you tend to accidentally lock yourself out of your car, it's a good idea to carry a duplicate key with you just in case.</li><li>The word duplicate is useful when you're talking about a copy of something, like a duplicate of your birth certificate that you keep in a file, or a duplicate driver's license that you apply for after losing the original one. The verb duplicate is pronounced differently, with a long a sound, and it means to make a copy of or to multiply times two. The Latin root, duplicatus, means ""to double.""</li></ul>"
durable,"<ul><li>Something that is built to last is durable. Your most durable pair of hiking boots will last you through your trek to the summit of Mount Everest.</li><li>Anything that's long-lasting, sturdy, or doesn't bend under pressure can be described as durable. You could have a durable relationship with your oldest friend, durable tires on your car, and a durable umbrella — they won't let you down or break. The Latin root of durable is durabilis, which means ""lasting or permanent,"" and comes from durare, ""to harden.""</li></ul>"
earn,"<ul><li>When you earn something, you gain it as a result of your actions. You can earn your friend's gratitude by rescuing her pet kitten from a tree.</li><li>Earning has to do with things people get through their own efforts or behavior. A good friend earns your trust. A dishonest coworker might earn a reputation as a liar. This word is also used in financial contexts. If someone asks how much you earned last year, they're asking how much money you made at your job.</li></ul>"
ease,"<ul><li>Ease means to lessen or release, often making something possible in the meantime. When you put someone at their ease, you lessen their discomfort. When you ease into a chair, you gently release yourself into it.</li><li>A life of ease means you do not have to struggle to make money. Your dad might be mad if you pierce your nose, but eventually, with time, his anger will ease and he will ease up on you. Your older siblings' behavior will ease the way for you to do things that frighten your parents without their overreacting.</li></ul>"
eccentric,"<ul><li>You're most likely to encounter the adjective eccentric in a description of an unusual or quirky person — like a scatterbrained aunt who leaves her life savings to her cat.</li><li>From the Greek ekkentros, ""out of the center,"" this word originally had to do with the orbits of planets that were observed to be slightly out of whack. Eventually it came to describe people who were a little kooky, both as an adjective and as a noun, too: an eccentric is an unconventional, odd person. Think of them as following a slightly different orbit from the rest of society.</li></ul>"
edible,"<ul><li>If it’s edible, you can eat it. Many things that you may not want to eat are, in fact, edible. Certain insects are edible, which just means that you can consume them without getting sick (if it doesn't gross you out too much).</li><li>Edible comes from the Latin word edere, which means “to eat.” Anything that people can safely eat is described as edible. Long before there were complex labels on  our packages of food, human predecessors were living in caves and sampling various plants and animals for their survival, all the while learning the hard way whether or not certain things were either edible or poisonous. You are most likely a descendant of the ones who found the edible stuff.</li></ul>"
efface,"<ul><li>If something is erased or rubbed out, it has been effaced. Teachers get annoyed to find that someone has effaced the blackboard — even the part clearly marked, ""Do Not Erase!""</li><li>You can also efface things that are not physical — like effacing feelings, impressions, or memories. When you efface a memory, you wipe it out as well. Some people believe that their good deeds are able to efface their past wrongs. They'll have to rely on others' opinions to see how well that works.</li></ul>"
elaborate,"<ul><li>Use the adjective elaborate when you want to describe how something is very detailed or especially complicated, like a devilish prank planned out weeks in advance.</li><li>The adjective elaborate is used to describe when something is planned with a lot of attention to detail or when something is intricate or detailed itself. The word comes from the Latin elaborare, which means ""to produce by labor"" but it has come to mean a lot of labor, especially work that is very complicated and precise. To imagine this word, think of a painting with lots of flourishes or a story with many sub-plots and characters that all fit together in extensive ways.</li></ul>"
elapse,"<ul><li>When time passes by, you say it elapses. Four years elapse while you are in high school. Nine months elapse while you are in the womb.</li><li>If two weeks have elapsed between your tennis lessons, there has been a two-week lapse between sessions. The word elapse comes from the Latin word elabi which means ""to slip away."" Time is one of those things that really does tend to slip away, unless you're sitting through a lecture on the nature of time. Then, it might feel like years elapse when really it is just a few minutes.</li></ul>"
element,"<ul><li>An element is something basic and important — in chemistry, an element is one of the essential molecules that everything else is made of. If a book's ending carries an ""element of surprise,"" it means surprise is an important part of the story's end.</li><li>One of the earliest meanings of this noun was in reference to any of four substances — earth, air, fire, or water — that were formerly regarded as a basic constituent of the universe. When you're ""in your element,"" it means you're enjoying yourself because what you're doing is basic and important to you. Stand-up comics are in their element when they're performing to a crowd who loves them.</li></ul>"
elevate,"<ul><li>To elevate is to lift up, either literally or figuratively. One way to elevate your mood is to exercise and elevate your heart rate. But if you exercise too hard and sprain your ankle, you might have to elevate it by propping it on a pillow.</li><li>An elevator elevates you: it carries you to a higher floor in a building. Elevate can also mean to raise something to a higher intellectual level, as when an informed speaker elevates the level of debate about an issue. A boss can elevate, or promote, a worker to a better position. For example, a restaurant manager might elevate a superb busboy to the position of waiter. Elevate comes from Latin elevates, which means “to raise” or even ""to lighten.”</li></ul>"
eliminate,"<ul><li>As eliminate means ""get rid of or do away with,"" it has become used to refer to the end of a problem or even an entire species. We need to eliminate sources of pollution in order to maintain a healthy world.</li><li>The original literal meaning of eliminate was ""to thrust over the threshold and out of doors, to kick out,"" but the 18th century saw the word expand to mean ""to exclude,"" and later to ridding the body of waste. The verb then came to refer to getting rid of anything, such as a problem or foul odor. The word took an ominous turn in the 20th century, when we saw man-made pollution eliminate whole species, and war, hate, and famine nearly eliminate whole groups of people.</li></ul>"
elite,"<ul><li>The elite are the group thought to be the best and having the highest status. In the middle ages, only elite men were taught to read and write.</li><li>There are elite schools, elite teams, and elite players, some really the best and some just calling themselves the best. Who can join the basketball elite besides LeBron James and Michael Jordan? That's a matter of opinion. Elite is used with a singular or plural verb, depending on whether these special people are considered together as a group or as individual members of a group.</li></ul>"
elusive,"<ul><li>Things that are elusive are hard to find, pin down, or remember. They slip right out of your grasp.</li><li>Ever try to catch a mouse? It's not easy, because mice are quick and elusive — they're tough to catch. Rabbits are speedy, so they're elusive too. Also, things that are tough to understand or describe are elusive — like the concepts of love and beauty. If you had an idea and then forgot it, the idea is elusive: it slipped away. Anything you can't get hold of, with your hands or with your brain, is elusive.</li></ul>"
emanate,"<ul><li>Emanate means to give off, like the sound of laughter that emanates from your sister's room during her slumber party. If spooky sounds emanate from the closet, don’t open the door!</li><li>The word emanate comes from the Latin emanare, which means “to flow out.” Things that emanate come from somewhere. Heat emanates from a fire, and smoke emanates from a chimney. This word can also be used figuratively: for example, you might say that your upbeat and optimistic best friend emanates positivity.</li></ul>"
embark,"<ul><li>When you embark on something, you are starting it — and it's exciting. You might embark on a new career or embark on a trip to the Galapagos Islands. You wouldn't embark on a trip to the grocery store.</li><li>The verb embark can be used specifically to refer to boarding a ship for a journey. When used for general travel, the verb embark often implies a longer journey: ""She embarked on a trip around the world."" Besides physical journeys, embark can be used to mean to start other kinds of journeys as well. You might embark on a spiritual journey or embark on the path to enlightenment. Pack well.</li></ul>"
embed,"<ul><li>The verb embed means to implant something or someone — like to embed a stone into a garden pathway or to embed a journalist in a military unit.</li><li>When you stick something firmly within a particular environment, you are embedding it. If you are an archeologist, you might spend a lot of your time looking for pottery shards embedded in the earth. If you are a web site designer, you might embed video clips on web pages. And if your newspaper is covering a war overseas, you might consider embedding a journalist in a military troop in order to have a source reporting back from the front lines.</li></ul>"
emergence,"<ul><li>An emergence is when something comes into view — like the emergence of a seedling in a garden or the famous emergence of Punxsutawney Phil on Groundhog Day — which is supposed to show how soon spring will ""emerge.""</li><li>Emergence is a noun that goes back to the Latin root emergere, meaning ""bring to light,"" and it came into English in the 17th century. Just as something comes to light or shows up where there was darkness or nothing before, an emergence happens — like new technologies such as the emergence of e-readers. Pronouncing emergence is the same as pronouncing emergency but without the long e sound at the end.</li></ul>"
emergency,"<ul><li>When there's an emergency, the stakes are high and you may need to act quickly. There's a tornado!  Someone's collapsed! The cat's stuck in a tree! It's an emergency! Call 911!</li><li>You can see the word emerge in emergency, and an emergency suddenly emerges — it happens all of a sudden and can take you by surprise. Governments declare a ""state of emergency"" if there is a disaster that they can't handle, and they need support. If you hear sirens and see flashing lights, there's probably an emergency . . . unless you're in a dance club.</li></ul>"
emergent,"<ul><li>If you have an emergent talent for science, your teacher might bump you up to an advanced science class. Emergent is an adjective that describes something that is emerging, or suddenly coming into existence.</li><li>Emergent means “coming into being.” It's often used in phrases like “emergent technologies.” These are brand-new technologies that we can expect to be widely used in the near future. The Internet, for example, was an emergent technology in the early 1990s. Emergent sometimes implies that what is coming into being is surprising and demands a response. An “emergent disease,” for instance, would send scientists scrambling to find a cure. In this sense emergent is related to emergency.</li></ul>"
employ,"<ul><li>To employ means to use something or hire someone to work. You can employ a saw to cut a board or employ a tutor to teach you math. You can even employ your talents in study and activities.</li><li>The Latin source of employ is the word implicāre, which literally means to enfold or be connected with. This ties in with the verb employ, which is transitive and needs a direct object. (You can't just say ""I will employ — you have to employ something.) The word also suggests using something for a specific purpose: you can employ someone for a job or find something in which to employ your own interests.</li></ul>"
enable,"<ul><li>When you make something possible, you enable it. Your good grades might enable you to get into your first-choice college. And a great teacher enabled you to get such good grades.</li><li>Enable has taken on the meaning of allowing or even helping someone continue to do something they really shouldn't. If your mother writes note after note to get you out of school for no good reason, she is enabling your habit of playing hooky. While you might think she's being cool, a therapist might call her an enabler and give her part of the blame.</li></ul>"
enactment,"<ul><li>The process of making something into a law is enactment. The enactment of new legislation in your town means that you'll now have to keep your dog on a leash in all public parks.</li><li>Enactment comes from the verb enact, which has long been used to mean ""establish as law."" This legal terminology has ""act"" at its center, meaning both ""to do"" and ""written proof of something that's been said, done, or agreed to."" Legitimizing this kind of act as law is where enactment comes in. You can also use this word for the resulting law itself: ""The enactment doesn't affect me — I never let my dog off her leash anyway.""</li></ul>"
encapsulate,"<ul><li>To encapsulate something is to sum it up in shorter form — to summarize something.</li><li>When you see the word encapsulate, think about trying to put your comic book collection inside one tiny capsule — all of them wouldn't fit, so you'd have to pick out just your favorites or the most valuable ones. Encapsulating means condensing something down into its most important parts, so you just get the gist of it. Cliff's Notes encapsulate longer books. If you tell a friend about your summer vacation, you better encapsulate it or you'll be there for hours.</li></ul>"
encounter,"<ul><li>If you run into that cute guy (or girl) from the local deli when you’re at the grocery store and you stop to chat, you’ve just had an encounter, which is a casual meeting, often resulting by chance.</li><li>When you encounter the word encounter, context will tell you if it’s acting as a verb or a noun. The sentence “When Spencer and Susanna encounter a bear on the trail, they stand very still” illustrates the verb form. “The encounter in the subway left her wishing she had stayed at home” shows the noun form. Whether acting as a verb or a noun, the word carries the connotation of “chance meeting."" You don’t plan an encounter; it just happens.</li></ul>"
encourage,"<ul><li>When you encourage someone, you give him or her the courage or confidence to do something, like when you encourage your little brother to play harder by yelling his name from the sidelines of the soccer field.</li><li>The word encourage comes from the Old French word encoragier, meaning ""make strong, hearten."" When you encourage the tomato plants in your garden, you water them to promote their growth and health. Encourage can also mean to inspire with hope, like when you encourage your friends to try out for the school play by complimenting their singing and acting talents.</li></ul>"
end,"<ul><li>The end of something is its final point or farthest edge. After your cat unwinds a ball of yarn, you may find one end of it in your kitchen and the other end upstairs in the bathroom.</li><li>A piece of string has two ends, while stories, races, and years have just one end each. When you buy a length of fabric, the leftover bit is an end, and the final point of almost anything — a play or a marriage — is also an end. When you end something, you make it conclude. In football, an ""end zone"" is the far side of the field, and a ""defensive end"" is a player near the sideline.</li></ul>"
endangered,"<ul><li>An animal that is endangered is close to extinction — meaning there aren't very many of that type of animal left in the world.</li><li>This word is used mostly to describe animal species that are not doing very well: animals usually become endangered because of over hunting or the destruction of their habitat. Environmental groups and animal-lovers try to help endangered species survive. Outside of the animal kingdom, you can say anything that seems to be dying out is endangered, like good manners, phone booths, or the art of letter writing.</li></ul>"
